,GEO.id_x,GEO.id2,GEO.display-label_x,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,zip,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402,city,state,latitude,longitude,timezone,dst,GEO.id_y,GEO.display-label_y,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
19,0400000US25,25,Massachusetts,8710000US2501890,2501890,Massachusetts - ZCTA 01890,01890,21382,7988,6.35,0.32,6.03,3546.5,1324.9,Winchester,MA,42.451945,-71.14276,-5,1,8610000US01890,"ZIP 01890 (Winchester, MA)",00,Total for all sectors,2012,568,6422.0,74654,332258
20,0400000US25,25,Massachusetts,8710000US2501901,2501901,Massachusetts - ZCTA 01901,01901,1689,1034,0.27,0.03,0.25,6821.1,4175.8,Lynn,MA,42.461246,-70.946743,-5,1,8610000US01901,"ZIP 01901 (Lynn, MA)",00,Total for all sectors,2012,269,6171.0,64065,247912
21,0400000US25,25,Massachusetts,8710000US2501902,2501902,Massachusetts - ZCTA 01902,01902,45139,18354,2.49,0.09,2.40,18784.0,7637.8,Lynn,MA,42.469946,-70.94113,-5,1,8610000US01902,"ZIP 01902 (Lynn, MA)",00,Total for all sectors,2012,387,3610.0,28167,121651
22,0400000US25,25,Massachusetts,8710000US2501904,2501904,Massachusetts - ZCTA 01904,01904,18203,7182,5.02,0.50,4.52,4026.7,1588.7,Lynn,MA,42.490421,-70.96579,-5,1,8610000US01904,"ZIP 01904 (Lynn, MA)",00,Total for all sectors,2012,269,2262.0,17772,75472
23,0400000US25,25,Massachusetts,8710000US2501905,2501905,Massachusetts - ZCTA 01905,01905,25251,9187,4.02,0.46,3.56,7093.8,2580.9,Lynn,MA,42.464879,-70.97411,-5,1,8610000US01905,"ZIP 01905 (Lynn, MA)",00,Total for all sectors,2012,284,3760.0,37174,155019
24,0400000US25,25,Massachusetts,8710000US2501906,2501906,Massachusetts - ZCTA 01906,01906,26660,10786,11.81,1.01,10.80,2468.4,998.7,Saugus,MA,42.462796,-71.0098,-5,1,8610000US01906,"ZIP 01906 (Saugus, MA)",00,Total for all sectors,2012,760,9460.0,59610,248753
25,0400000US25,25,Massachusetts,8710000US2501907,2501907,Massachusetts - ZCTA 01907,01907,14027,5960,3.46,0.43,3.04,4619.6,1962.9,Swampscott,MA,42.474409,-70.90588,-5,1,8610000US01907,"ZIP 01907 (Swampscott, MA)",00,Total for all sectors,2012,311,2746.0,18773,83161
26,0400000US25,25,Massachusetts,8710000US2501908,2501908,Massachusetts - ZCTA 01908,01908,3410,1677,2.42,1.37,1.05,3260.3,1603.4,Nahant,MA,42.427096,-70.92809,-5,1,8610000US01908,"ZIP 01908 (Nahant, MA)",00,Total for all sectors,2012,52,365.0,2332,10336
27,0400000US25,25,Massachusetts,8710000US2501915,2501915,Massachusetts - ZCTA 01915,01915,39502,16641,16.62,1.53,15.09,2617.2,1102.5,Beverly,MA,42.560995,-70.8757,-5,1,8610000US01915,"ZIP 01915 (Beverly, MA)",00,Total for all sectors,2012,1235,20676.0,246256,996540
28,0400000US25,25,Massachusetts,8710000US2501923,2501923,Massachusetts - ZCTA 01923,01923,26342,11135,14.11,0.91,13.20,1995.2,843.4,Danvers,MA,42.569756,-70.94322,-5,1,8610000US01923,"ZIP 01923 (Danvers, MA)",00,Total for all sectors,2012,1098,27718.0,303864,1151996
29,0400000US25,25,Massachusetts,8710000US2501937,2501937,Massachusetts - ZCTA 01937,01937,151,0,0.07,0.00,0.07,2066.9,0.0,Hathorne,MA,42.635443,-70.879123,-5,1,8610000US01937,"ZIP 01937 (Hathorne, MA)",00,Total for all sectors,2012,5,54.0,417,1683
30,0400000US25,25,Massachusetts,8710000US2501940,2501940,Massachusetts - ZCTA 01940,01940,12108,4729,11.21,0.66,10.55,1147.8,448.3,Lynnfield,MA,42.527895,-71.02834,-5,1,8610000US01940,"ZIP 01940 (Lynnfield, MA)",00,Total for all sectors,2012,342,3517.0,45662,188228
31,0400000US25,25,Massachusetts,8710000US2501945,2501945,Massachusetts - ZCTA 01945,01945,19808,8838,7.69,3.30,4.39,4515.8,2014.9,Marblehead,MA,42.497146,-70.86323,-5,1,8610000US01945,"ZIP 01945 (Marblehead, MA)",00,Total for all sectors,2012,535,3660.0,30776,133540
32,0400000US25,25,Massachusetts,8710000US2501949,2501949,Massachusetts - ZCTA 01949,01949,8987,3045,14.48,1.03,13.46,667.9,226.3,Middleton,MA,42.602278,-71.01356,-5,1,8610000US01949,"ZIP 01949 (Middleton, MA)",00,Total for all sectors,2012,273,3258.0,37339,145117
33,0400000US25,25,Massachusetts,8710000US2501960,2501960,Massachusetts - ZCTA 01960,01960,50944,22024,16.56,0.56,16.00,3184.6,1376.7,Peabody,MA,42.534045,-70.96146,-5,1,8610000US01960,"ZIP 01960 (Peabody, MA)",00,Total for all sectors,2012,1412,23378.0,252805,1047672
34,0400000US25,25,Massachusetts,8710000US2501970,2501970,Massachusetts - ZCTA 01970,01970,41109,19063,13.59,5.48,8.11,5069.5,2350.8,Salem,MA,42.516845,-70.8985,-5,1,8610000US01970,"ZIP 01970 (Salem, MA)",00,Total for all sectors,2012,1125,16375.0,169006,715964
35,0400000US25,25,Massachusetts,8710000US2501984,2501984,Massachusetts - ZCTA 01984,01984,4875,1430,8.14,0.48,7.66,636.4,186.7,Wenham,MA,42.600518,-70.87618,-5,1,8610000US01984,"ZIP 01984 (Wenham, MA)",00,Total for all sectors,2012,86,1490.0,7346,32539
36,0400000US25,25,Massachusetts,8710000US2502021,2502021,Massachusetts - ZCTA 02021,02021,21561,8762,19.61,0.82,18.80,1147.1,466.1,Canton,MA,42.166776,-71.1343,-5,1,8610000US02021,"ZIP 02021 (Canton, MA)",00,Total for all sectors,2012,892,21086.0,397202,1487410
37,0400000US25,25,Massachusetts,8710000US2502025,2502025,Massachusetts - ZCTA 02025,02025,7542,2980,10.85,1.07,9.79,770.4,304.4,Cohasset,MA,42.241908,-70.81223,-5,1,8610000US02025,"ZIP 02025 (Cohasset, MA)",00,Total for all sectors,2012,260,2217.0,16681,72449
38,0400000US25,25,Massachusetts,8710000US2502026,2502026,Massachusetts - ZCTA 02026,02026,24711,10184,10.64,0.40,10.24,2412.2,994.1,Dedham,MA,42.244609,-71.16553,-5,1,8610000US02026,"ZIP 02026 (Dedham, MA)",00,Total for all sectors,2012,868,15330.0,163755,660161
39,0400000US25,25,Massachusetts,8710000US2502030,2502030,Massachusetts - ZCTA 02030,02030,5589,1969,15.43,0.32,15.12,369.7,130.2,Dover,MA,42.23888,-71.28241,-5,1,8610000US02030,"ZIP 02030 (Dover, MA)",00,Total for all sectors,2012,112,369.0,4778,22577
40,0400000US25,25,Massachusetts,8710000US2502032,2502032,Massachusetts - ZCTA 02032,02032,4226,1593,2.40,0.06,2.34,1806.2,680.9,East Walpole,MA,42.153912,-71.21362,-5,1,8610000US02032,"ZIP 02032 (East Walpole, MA)",00,Total for all sectors,2012,115,1967.0,18878,77435
41,0400000US25,25,Massachusetts,8710000US2502043,2502043,Massachusetts - ZCTA 02043,02043,22157,8953,23.02,0.88,22.15,1000.5,404.3,Hingham,MA,42.225708,-70.88764,-5,1,8610000US02043,"ZIP 02043 (Hingham, MA)",00,Total for all sectors,2012,842,12051.0,148972,589026
42,0400000US25,25,Massachusetts,8710000US2502045,2502045,Massachusetts - ZCTA 02045,02045,10293,5762,8.16,5.50,2.66,3872.4,2167.8,Hull,MA,42.286347,-70.87663,-5,1,8610000US02045,"ZIP 02045 (Hull, MA)",00,Total for all sectors,2012,157,953.0,6116,27656
43,0400000US25,25,Massachusetts,8710000US2502052,2502052,Massachusetts - ZCTA 02052,02052,12024,4237,14.64,0.23,14.40,834.9,294.2,Medfield,MA,42.185571,-71.30476,-5,1,8610000US02052,"ZIP 02052 (Medfield, MA)",00,Total for all sectors,2012,309,2356.0,19530,83965
44,0400000US25,25,Massachusetts,8710000US2502061,2502061,Massachusetts - ZCTA 02061,02061,10506,3675,21.26,0.32,20.94,501.7,175.5,Norwell,MA,42.15243,-70.8205,-5,1,8610000US02061,"ZIP 02061 (Norwell, MA)",00,Total for all sectors,2012,529,9618.0,134557,573676
45,0400000US25,25,Massachusetts,8710000US2502062,2502062,Massachusetts - ZCTA 02062,02062,28602,12479,10.52,0.16,10.36,2761.2,1204.7,Norwood,MA,42.185974,-71.20166,-5,1,8610000US02062,"ZIP 02062 (Norwood, MA)",00,Total for all sectors,2012,1270,25163.0,381546,1457828
46,0400000US25,25,Massachusetts,8710000US2502066,2502066,Massachusetts - ZCTA 02066,02066,17656,7419,19.12,2.20,16.92,1043.3,438.4,Scituate,MA,42.205038,-70.7513,-5,1,8610000US02066,"ZIP 02066 (Scituate, MA)",00,Total for all sectors,2012,347,2327.0,16565,77653
47,0400000US25,25,Massachusetts,8710000US2502067,2502067,Massachusetts - ZCTA 02067,02067,17486,6414,23.63,0.95,22.67,771.3,282.9,Sharon,MA,42.113749,-71.17923,-5,1,8610000US02067,"ZIP 02067 (Sharon, MA)",00,Total for all sectors,2012,386,2478.0,25028,112172
48,0400000US25,25,Massachusetts,8710000US2502072,2502072,Massachusetts - ZCTA 02072,02072,26999,10799,16.47,0.37,16.09,1677.7,671.0,Stoughton,MA,42.125432,-71.10627,-5,1,8610000US02072,"ZIP 02072 (Stoughton, MA)",00,Total for all sectors,2012,867,11770.0,130494,535797
49,0400000US25,25,Massachusetts,8710000US2502081,2502081,Massachusetts - ZCTA 02081,02081,18472,7156,18.47,0.55,17.92,1030.7,399.3,Walpole,MA,42.145237,-71.25375,-5,1,8610000US02081,"ZIP 02081 (Walpole, MA)",00,Total for all sectors,2012,585,6268.0,66694,274020
