,latitude,longitude,nrides
151,42.2914141414,-71.0818181818,-18.8317695818
152,42.2914141414,-71.0796969697,-18.8470422128
153,42.2914141414,-71.0775757576,-18.8223823854
154,42.2914141414,-71.0754545455,-18.8014410897
155,42.2914141414,-71.0733333333,-18.7845313499
156,42.2914141414,-71.0712121212,-18.7715609273
157,42.2914141414,-71.0690909091,-18.7643591068
158,42.2914141414,-71.066969697,-18.7629999817
159,42.2914141414,-71.0648484848,-18.767293395
160,42.2914141414,-71.0627272727,-18.7767169317
161,42.2914141414,-71.0606060606,-18.7904808388
162,42.2914141414,-71.0584848485,-18.807734833
163,42.2914141414,-71.0563636364,-18.7911610352
164,42.2914141414,-71.0542424242,-18.7704612646
165,42.2914141414,-71.0521212121,-18.7487141526
166,42.2914141414,-71.05,-18.7261904195
167,42.2914141414,-71.0478787879,-18.7067564836
168,42.2914141414,-71.0457575758,-18.6905392396
169,42.2914141414,-71.0436363636,-18.6767930853
170,42.2914141414,-71.0415151515,-18.6665760473
171,42.2914141414,-71.0393939394,-18.6599263816
172,42.2914141414,-71.0372727273,-18.6569974071
173,42.2914141414,-71.0351515152,-18.6579867072
174,42.2914141414,-71.033030303,-18.6631250257
175,42.2914141414,-71.0309090909,-18.6726173543
176,42.2914141414,-71.0287878788,-18.686708209
177,42.2914141414,-71.0266666667,-18.7056140783
178,42.2914141414,-71.0245454545,-18.728884928
179,42.2914141414,-71.0224242424,-18.7562439881
180,42.2914141414,-71.0203030303,-18.7879135595
181,42.2914141414,-71.0181818182,-18.8231022725
182,42.2914141414,-71.0160606061,-18.855163635
183,42.2914141414,-71.0139393939,-18.8895843171
184,42.2914141414,-71.0118181818,-18.9235175895
185,42.2914141414,-71.0096969697,-18.955961382
186,42.2914141414,-71.0075757576,-18.9892426585
187,42.2914141414,-71.0054545455,-19.0232183438
188,42.2914141414,-71.0033333333,-19.0579755411
189,42.2914141414,-71.0012121212,-19.0952026751
190,42.2914141414,-70.9990909091,-19.1327187191
191,42.2914141414,-70.996969697,-19.1694101774
192,42.2914141414,-70.9948484848,-19.2045604433
193,42.2914141414,-70.9927272727,-19.2343057587
194,42.2914141414,-70.9906060606,-19.2633144945
195,42.2914141414,-70.9884848485,-19.2912035436
196,42.2914141414,-70.9863636364,-19.3164337935
197,42.2914141414,-70.9842424242,-19.3402396076
198,42.2914141414,-70.9821212121,-19.3630645567
199,42.2914141414,-70.98,-19.3857927692
200,42.2928282828,-71.19,-19.5289117204
201,42.2928282828,-71.1878787879,-19.5102679304
202,42.2928282828,-71.1857575758,-19.4928778064
203,42.2928282828,-71.1836363636,-19.4762591292
204,42.2928282828,-71.1815151515,-19.4552460036
205,42.2928282828,-71.1793939394,-19.4343262589
206,42.2928282828,-71.1772727273,-19.4136888723
207,42.2928282828,-71.1751515152,-19.3901599313
208,42.2928282828,-71.173030303,-19.3654492002
209,42.2928282828,-71.1709090909,-19.3400293973
210,42.2928282828,-71.1687878788,-19.3139966895
211,42.2928282828,-71.1666666667,-19.2873876144
212,42.2928282828,-71.1645454545,-19.2573347632
213,42.2928282828,-71.1624242424,-19.2264057587
214,42.2928282828,-71.1603030303,-19.1936520004
215,42.2928282828,-71.1581818182,-19.1583176501
216,42.2928282828,-71.1560606061,-19.1183610244
217,42.2928282828,-71.1539393939,-19.0778297514
218,42.2928282828,-71.1518181818,-19.0370265888
219,42.2928282828,-71.1496969697,-18.9985438158
220,42.2928282828,-71.1475757576,-18.9604328866
221,42.2928282828,-71.1454545455,-18.9223940814
222,42.2928282828,-71.1433333333,-18.8838224481
223,42.2928282828,-71.1412121212,-18.8400640437
224,42.2928282828,-71.1390909091,-18.7968112191
225,42.2928282828,-71.136969697,-18.746992018
226,42.2928282828,-71.1348484848,-18.6999153145
227,42.2928282828,-71.1327272727,-18.6549417794
228,42.2928282828,-71.1306060606,-18.6139738833
229,42.2928282828,-71.1284848485,-18.5779944593
230,42.2928282828,-71.1263636364,-18.5477173183
231,42.2928282828,-71.1242424242,-18.5229106985
232,42.2928282828,-71.1221212121,-18.5036635799
233,42.2928282828,-71.12,-18.4900025236
234,42.2928282828,-71.1178787879,-18.4814636604
235,42.2928282828,-71.1157575758,-18.4790102862
