,stationid,duration,nrides,ndays,lat,lng,originpop,originwork,originsubway,destpop,destwork,destsubway,ridesperday
36,40.0,480.0,19812.0,446.0,42.363871,-71.050877,111.740425265,751.03742247,65.1025745109,6.74377867965,17.8590836614,4.55364251276,44.4215246637
37,41.0,785.5,11299.0,442.0,42.352261,-71.123831,244.267040931,111.844508638,46.9739139334,7.61411792714,12.5390896322,2.97798777462,25.5633484163
38,42.0,600.0,22112.0,432.0,42.352096,-71.070378,267.460411494,900.438276085,204.830906016,9.05239234362,21.2421779519,5.16747223815,51.1851851852
39,43.0,420.0,21279.0,443.0,42.357143,-71.050699,112.48954627,960.482078155,153.961046128,6.99734918586,17.42017605,4.28492861164,48.0338600451
40,44.0,584.0,12793.0,431.0,42.360583,-71.056868,172.926579435,1101.58770821,365.660799313,7.30354373178,17.343592638,4.10255195232,29.6821345708
41,45.0,630.0,14180.0,421.0,42.344763,-71.09788,382.808367216,730.565487385,71.89174807,8.99734109147,17.3116607244,4.33951705412,33.6817102138
42,46.0,570.0,16436.0,446.0,42.343864,-71.085918,338.052231983,697.442434658,137.494378375,9.35387233909,19.4826543092,4.73479297662,36.8520179372
43,47.0,534.0,17931.0,437.0,42.362811,-71.056067,160.618561698,971.04648127,226.679123868,7.17283751213,17.7189041365,4.38152321916,41.0320366133
44,48.0,422.0,20312.0,435.0,42.356755,-71.055407,158.101297236,1129.4024734,406.707710987,7.36439848124,17.2542843361,3.91964530904,46.6942528736
45,49.0,570.0,13575.0,444.0,42.351146,-71.066289,253.250924111,936.789731341,258.79229402,8.78472952621,20.8620838805,4.95539816693,30.5743243243
46,50.0,540.0,15977.0,400.0,42.350989,-71.073644,276.502971988,823.21483558,222.604217484,9.23089426186,21.3504670114,5.21734458141,39.9425
47,51.0,634.0,3264.0,394.0,42.3348756,-71.0790969,269.876195592,262.416390096,37.4014055969,8.65107594834,18.4836744466,4.52130094887,8.28426395939
48,52.0,660.0,17980.0,435.0,42.348717,-71.085954,284.072265918,688.976766848,144.285379084,9.58505396411,20.1851545814,4.90365277266,41.3333333333
49,53.0,541.0,23681.0,435.0,42.350851,-71.089886,261.815186323,614.51531208,99.0102505711,9.89774686372,20.3999462219,4.98869465501,54.4390804598
50,54.0,660.0,16900.0,411.0,42.354979,-71.063348,225.055640414,1101.40864819,489.964145222,8.31097202683,19.4354454683,4.39232787874,41.1192214112
51,55.0,540.0,15719.0,410.0,42.347265,-71.088088,317.249481811,720.12437688,138.685571999,9.52315054002,19.6602805654,4.79702992288,38.3390243902
52,56.0,671.0,1619.0,163.0,42.3281898,-71.0833545,252.404718124,112.46097267,33.4441440444,7.84763077069,15.6321072113,3.73392029778,9.93251533742
53,57.0,480.0,12646.0,429.0,42.340799,-71.081572,322.240661768,546.947840392,112.335492959,9.17341298068,19.6958337509,4.80815272493,29.4778554779
54,58.0,660.0,17864.0,402.0,42.355596,-71.07278,235.049069174,834.083553385,125.013079485,9.29321888498,21.7586457844,5.40164799248,44.4378109453
55,59.0,540.0,10290.0,416.0,42.351356,-71.059367,187.090165334,964.909728463,384.099363453,8.16260038367,19.5670840755,4.46373247303,24.7355769231
56,60.0,742.5,8648.0,189.0,42.360877,-71.07131,201.491902346,762.062379199,132.531454619,9.01233968432,21.617882267,5.45625077395,45.7566137566
57,61.0,654.75,6138.0,164.0,42.348323,-71.082674,285.364936758,706.637636682,194.509530046,9.43691874955,20.3573251054,4.92359634541,37.4268292683
58,62.0,780.0,5199.0,366.0,42.340299,-71.109927,237.52031186,282.725526493,43.4626337673,8.27159824565,14.6070670984,3.47857406335,14.2049180328
59,63.0,556.25,5149.0,382.0,42.344023,-71.057054,167.64718994,466.730541159,70.778884342,8.21697834323,20.6961491647,5.18607639638,13.4790575916
60,64.0,495.0,16471.0,367.0,42.3511,-71.0496,98.3376616313,735.956877662,133.79282516,7.21961658749,18.5767006512,4.69006517693,44.8801089918
61,65.0,693.5,4409.0,352.0,42.3475,-71.0441,87.0409329945,421.24530078,27.0597529959,6.59521509303,17.7556287932,4.6142349574,12.5255681818
62,66.0,900.0,4426.0,237.0,42.348607,-71.13401,218.759763836,80.799751653,51.288418609,6.19597519017,9.72045475622,2.30324798529,18.6751054852
63,67.0,480.0,23370.0,258.0,42.3581,-71.093198,194.678740155,372.739191387,29.9322677365,10.0766723426,20.5472245977,4.99638189394,90.5813953488
64,68.0,600.0,13936.0,259.0,42.36507,-71.1031,292.829407382,370.898093812,131.330951601,8.85691791273,16.5682970295,4.01937598204,53.8069498069
65,69.0,840.0,6356.0,255.0,42.341598,-71.123338,222.459858318,83.961878632,42.5822816042,7.22645228828,11.9266177823,2.77758146024,24.9254901961
66,70.0,660.0,7016.0,260.0,42.372244,-71.121851,188.531799586,218.917286596,140.937530245,6.79258257907,10.8320586585,2.5492314423,26.9846153846
67,71.0,660.0,2935.0,245.0,42.383405,-71.107593,190.13703032,96.7953263926,1.99258136521,6.62713371603,11.1617477082,2.8534937008,11.9795918367
68,72.0,604.0,10415.0,251.0,42.362613,-71.084105,150.393946551,352.327808433,113.643846603,9.62827324194,21.3447466636,5.23773967343,41.4940239044
69,73.0,765.5,6504.0,261.0,42.373231,-71.120886,195.94237875,229.177153792,169.059858463,6.75447473487,10.8130850295,2.53753694027,24.9195402299
70,74.0,780.0,15547.0,261.0,42.373268,-71.118579,186.784391859,213.477570619,180.030021583,6.89601691539,11.2298510166,2.63208918058,59.5670498084
71,75.0,600.0,14412.0,255.0,42.363562,-71.10042,281.732398717,376.387521141,101.835474589,9.19435590938,17.6319904961,4.271684634,56.5176470588
72,76.0,600.0,11072.0,262.0,42.366426,-71.105495,283.358264456,345.803853387,112.275592593,8.58364889549,15.6817119153,3.81595662277,42.2595419847
73,77.0,900.0,1835.0,252.0,42.386428,-71.096413,281.112066131,82.0261472284,0.0325586455323,6.3243084558,11.5467173821,2.91140691981,7.28174603175
74,78.0,720.0,4092.0,257.0,42.379637,-71.095319,245.409373764,112.292280108,0.0323833413673,7.35930423368,14.0260778161,3.52620797928,15.9221789883
75,79.0,600.0,5393.0,252.0,42.378551,-71.106541,197.377069108,129.08603805,3.17076034716,7.24949027195,12.5975522974,3.18199139042,21.4007936508
76,80.0,600.0,15279.0,256.0,42.362429,-71.090188,176.136935375,318.423076204,96.2338562993,9.64924619636,20.2387552981,4.92525360217,59.68359375
77,81.0,570.0,9283.0,253.0,42.352409,-71.062679,221.193206617,1021.30079514,412.098133743,8.38585289415,19.8128640834,4.50273502307,36.6916996047
78,82.0,1000.0,301.0,39.0,42.333689,-71.120526,88.4687099344,34.5474138487,29.5853290329,6.86829420415,11.2839286059,2.61464187585,7.71794871795
79,83.0,960.0,1055.0,218.0,42.325941,-71.065928,152.059237362,56.3458278912,6.47642534218,6.85907059359,14.5152087218,3.54363947656,4.83944954128
80,84.0,780.0,7870.0,252.0,42.366981,-71.076472,154.408964367,364.916528206,63.346036036,8.87188651227,20.9597164841,5.23749042242,31.2301587302
81,85.0,757.0,236.0,35.0,42.330825,-71.057007,166.007830225,74.1943502872,49.6708769052,6.81890514277,15.70370908,3.84066592795,6.74285714286
82,86.0,930.0,3685.0,247.0,42.332799,-71.116205,80.4206753776,43.543392918,33.6845828594,7.18125313599,12.0269248638,2.78559333589,14.9190283401
83,87.0,480.0,5242.0,231.0,42.366621,-71.114214,200.594652497,226.732471251,24.5524723699,7.99515721933,13.6243046967,3.30637597324,22.6926406926
84,88.0,600.0,8233.0,240.0,42.374035,-71.101427,225.57205398,191.153738626,6.32922893952,7.97722287557,14.7524246378,3.703737006,34.3041666667
85,89.0,600.0,4232.0,232.0,42.379011,-71.119945,229.009698779,265.665562259,70.5710519683,6.35083646045,9.97478788775,2.47728328614,18.2413793103
86,90.0,772.75,6790.0,234.0,42.3707,-71.07711,144.575986791,235.137131914,67.861912387,8.42262600873,19.6240779371,4.8686696058,29.0170940171
87,91.0,600.0,10533.0,238.0,42.366277,-71.09169,199.106086051,283.939186797,48.3210152126,9.14895630911,18.8277769108,4.6086198516,44.256302521
88,92.0,1500.0,616.0,176.0,42.311819,-71.035705,16.6529197914,4.93162110094,0.0363885305041,3.07505368297,6.67264119589,1.64719029731,3.5
89,93.0,1230.0,774.0,201.0,42.320494,-71.051122,187.750864002,56.0574313174,67.9522258506,4.95777126459,10.7686834993,2.61561798974,3.85074626866
90,94.0,840.0,4927.0,218.0,42.375603,-71.064608,144.577679741,163.331946691,15.6290442499,6.83830920531,17.4979115041,4.39692723476,22.6009174312
91,95.0,570.0,5518.0,231.0,42.372969,-71.094445,209.721557685,187.054129989,3.0299347683,8.31804795311,16.3938416556,4.09390890018,23.8874458874
92,96.0,600.0,5920.0,231.0,42.373379,-71.111075,188.152886929,192.51680422,49.9393220194,7.49994990609,12.8602621192,3.13375077619,25.6277056277
93,97.0,923.0,123.0,14.0,42.369182,-71.117152,172.846091096,190.033649806,73.0327245137,7.44325585406,12.380406557,2.95219097892,8.78571428571
94,98.0,780.0,8428.0,229.0,42.371848,-71.060292,138.314354085,315.825235026,9.5501867788,6.94601824913,18.4107085942,4.71661704309,36.8034934498
95,99.0,600.0,9589.0,213.0,42.35892,-71.057629,180.701872719,1158.00100252,465.830955361,7.44809748763,17.3549866336,3.95922920583,45.0187793427
96,100.0,915.0,881.0,196.0,42.328654,-71.084198,256.602443465,121.244763344,38.3978735723,7.93809057753,15.786932561,3.76391934023,4.49489795918
97,101.0,660.0,355.0,45.0,42.345733,-71.100694,367.534393709,681.233619387,79.1277386444,8.86227419126,16.7600494343,4.20781435677,7.88888888889
98,102.0,630.0,5837.0,185.0,42.336437,-71.073089,264.294069062,276.579222735,28.6428644933,8.56946138316,19.1942197529,4.78652836216,31.5513513514
99,103.0,660.0,11052.0,188.0,42.348762,-71.082383,279.317804909,703.833759899,196.081040512,9.46587515856,20.4954050147,4.95662046203,58.7872340426
100,104.0,765.0,1116.0,120.0,42.330716,-71.057044,165.480397826,73.3442727441,50.2533689307,6.80766144121,15.6605611998,3.82925058682,9.3
101,105.0,870.0,471.0,162.0,42.325333,-71.075354,188.75864391,66.2075949444,2.77037512207,7.2498829552,14.5892204439,3.53648158991,2.90740740741
102,106.0,660.0,487.0,40.0,42.335693,-71.045859,236.723937744,136.049948692,1.34675860774,6.08683138165,15.4756159184,3.86974932176,12.175
103,107.0,720.0,237.0,42.0,42.335741,-71.03877,179.312832335,99.7077030786,0.0516954688958,5.2487657273,13.691728926,3.41680564804,5.64285714286
104,108.0,960.0,53.0,35.0,42.320561,-71.06198,218.297217906,64.7098205089,11.5165559288,5.67189336056,11.8950693078,2.90583738377,1.51428571429
105,109.0,840.0,39.0,24.0,42.317225,-71.065421,217.002764707,59.7776974698,1.28100443484,5.38184225727,10.8290089187,2.64208593801,1.625
106,110.0,1080.0,1037.0,186.0,42.356975,-71.145442,164.007079715,65.7669928975,0.932772413163,4.97275163991,7.22554519914,1.7904122447,5.5752688172
107,111.0,660.0,10690.0,215.0,42.366222,-71.059914,166.266629466,724.612601493,95.9784704792,7.37252697304,18.7607192432,4.81900375781,49.7209302326
