GEO.id,zip,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US01083,01083,"ZIP 01083 (Warren, MA)",00,Total for all sectors,2012,40,944,25303,101889
8610000US01084,01084,"ZIP 01084 (West Chesterfield, MA)",00,Total for all sectors,2012,3,24,208,880
8610000US01085,01085,"ZIP 01085 (Westfield, MA)",00,Total for all sectors,2012,857,13405,135687,549101
8610000US01086,01086,"ZIP 01086 (Westfield, MA)",00,Total for all sectors,2012,16,f,5914,24466
8610000US01088,01088,"ZIP 01088 (West Hatfield, MA)",00,Total for all sectors,2012,28,288,2551,10480
8610000US01089,01089,"ZIP 01089 (West Springfield, MA)",00,Total for all sectors,2012,952,15955,138821,566355
8610000US01090,01090,"ZIP 01090 (West Springfield, MA)",00,Total for all sectors,2012,18,104,919,4657
8610000US01092,01092,"ZIP 01092 (West Warren, MA)",00,Total for all sectors,2012,24,74,456,2139
8610000US01093,01093,"ZIP 01093 (Whately, MA)",00,Total for all sectors,2012,30,576,6489,25027
8610000US01094,01094,"ZIP 01094 (Wheelwright, MA)",00,Total for all sectors,2012,2,a,D,D
8610000US01095,01095,"ZIP 01095 (Wilbraham, MA)",00,Total for all sectors,2012,299,3623,30181,124262
8610000US01096,01096,"ZIP 01096 (Williamsburg, MA)",00,Total for all sectors,2012,49,351,2416,10724
8610000US01098,01098,"ZIP 01098 (Worthington, MA)",00,Total for all sectors,2012,25,168,1912,7177
8610000US01101,01101,"ZIP 01101 (Springfield, MA)",00,Total for all sectors,2012,26,870,7323,28834
8610000US01102,01102,"ZIP 01102 (Springfield, MA)",00,Total for all sectors,2012,18,h,41433,173340
8610000US01103,01103,"ZIP 01103 (Springfield, MA)",00,Total for all sectors,2012,507,6963,65719,270511
8610000US01104,01104,"ZIP 01104 (Springfield, MA)",00,Total for all sectors,2012,535,14324,168413,729864
8610000US01105,01105,"ZIP 01105 (Springfield, MA)",00,Total for all sectors,2012,260,4568,41626,171818
8610000US01106,01106,"ZIP 01106 (Longmeadow, MA)",00,Total for all sectors,2012,279,3387,24187,113831
8610000US01107,01107,"ZIP 01107 (Springfield, MA)",00,Total for all sectors,2012,154,2232,30752,144188
