Unnamed: 0,destpop,destsubway,destwork,duration,lat,lng,ndays,nrides,originpop,originsubway,originwork,ridesperday,stationid
0.0,8.66785180111,3.96856563561,16.2179237504,660.0,42.340021,-71.100812,442.0,7653.0,326.19341353,47.4885165591,527.580667834,17.314479638,3.0
1.0,9.06788845769,5.35071599885,21.4962167953,538.0,42.345392,-71.069616,419.0,12573.0,293.133964059,109.532811878,668.19896931,30.0071599045,4.0
2.0,9.33710365523,4.57516486686,18.758030548,541.0,42.341814,-71.090179,419.0,7718.0,363.6107907,96.2199712197,681.944997933,18.4200477327,5.0
3.0,8.27761155337,4.91350858429,19.9855912393,600.0,42.361285,-71.06514,435.0,17133.0,210.708182689,242.646228872,969.426504029,39.3862068966,6.0
4.0,6.61074689876,4.64416194368,17.8425064428,600.0,42.353412,-71.044624,403.0,7028.0,61.5286120874,37.6812438322,589.60984749,17.4392059553,7.0
5.0,5.92799672357,2.1934395058,9.06413074041,912.0,42.353334,-71.137313,439.0,5274.0,213.166066988,23.187279126,86.5715863525,12.013667426,8.0
6.0,8.50237300086,3.47027190114,14.5990736065,720.0,42.351313,-71.116174,422.0,12393.0,243.084661552,37.1007499731,198.802658564,29.3672985782,9.0
7.0,9.14246050064,4.08080293446,16.7369799481,600.5,42.350075,-71.105884,420.0,12190.0,296.321089952,65.2096093801,483.897068092,29.0238095238,10.0
8.0,8.28960370354,3.57415663039,14.9240910965,675.0,42.338629,-71.1065,444.0,10544.0,237.639681141,44.8286607388,318.902640549,23.7477477477,11.0
9.0,9.04398960038,4.31624988928,18.0859688881,559.0,42.335911,-71.088496,445.0,8300.0,305.247333146,114.129844171,379.333541122,18.6516853933,12.0
10.0,8.36453109499,4.52449271147,18.2945335538,693.25,42.334057,-71.07403,230.0,3149.0,239.79652474,20.2377193889,202.762750807,13.6913043478,13.0
11.0,8.42170022538,3.69992138888,15.4564547018,660.0,42.337171,-71.102797,446.0,13359.0,254.152028284,59.307559602,344.949987583,29.9529147982,14.0
12.0,5.92631641566,2.20151841542,8.81373681728,1011.5,42.361667,-71.13802,436.0,3078.0,112.343083548,0.133628676206,55.8026380588,7.05963302752,15.0
13.0,9.21827289655,5.088691568,20.9042672518,550.25,42.347433,-71.076163,446.0,26179.0,305.229390475,267.667462716,743.616928692,58.697309417,16.0
14.0,7.72262020645,3.10113969307,12.6904220509,854.5,42.365074,-71.119581,443.0,8152.0,153.235604671,9.72429676225,149.988927544,18.4018058691,17.0
15.0,6.88310383694,2.64918143675,10.6260680361,780.0,42.36337,-71.129791,418.0,4897.0,127.025782979,0.39409931955,80.8267733299,11.7153110048,18.0
16.0,8.87732969428,3.98314508499,16.2274093905,678.0,42.347527,-71.105828,238.0,4630.0,320.248810976,76.6433561285,524.474110109,19.4537815126,19.0
17.0,6.93606187363,4.26347574965,17.2653927945,510.0,42.35977,-71.051601,444.0,17610.0,124.091556237,161.336246236,975.220299267,39.6621621622,20.0
18.0,9.31390883726,4.84176493378,19.9990693299,600.0,42.345959,-71.082578,446.0,19038.0,312.887511027,190.578023618,706.915575725,42.6860986547,21.0
19.0,7.73526293901,4.33698998952,18.7469075202,509.0,42.352175,-71.055547,446.0,49288.0,149.655680682,361.773032107,964.176353803,110.511210762,22.0
20.0,7.60703765953,4.12032421846,17.8296482692,606.0,42.359677,-71.059364,231.0,8244.0,193.501320143,466.674964729,1143.10251488,35.6883116883,23.0
21.0,6.73754490112,4.68144318813,17.9820358982,540.0,42.351821,-71.045461,446.0,11599.0,69.5661659103,51.1274043551,594.564806709,26.0067264574,24.0
22.0,9.03629398927,5.00261668646,20.2247647134,534.25,42.341332,-71.076847,446.0,14547.0,319.369861665,96.2785999697,527.065166186,32.6165919283,25.0
23.0,8.90029313169,5.28983118316,20.9905750382,510.0,42.341522,-71.068922,416.0,13633.0,279.327196282,38.6675106954,460.512017741,32.7716346154,26.0
24.0,8.41483801889,3.70224993493,15.829884297,599.0,42.331567,-71.094734,444.0,5632.0,251.026197668,84.9621046023,194.187253667,12.6846846847,27.0
25.0,7.38137468701,2.90635434039,11.75892952,780.0,42.363732,-71.124565,411.0,3694.0,134.453774233,2.05162369284,102.200924141,8.98783454988,29.0
26.0,8.09542773198,3.39493091222,14.4707160902,720.0,42.334073,-71.105221,412.0,7556.0,172.773494666,55.0800638308,177.286104705,18.3398058252,30.0
27.0,6.29591365901,4.4845449891,17.2249053248,570.0,42.348833,-71.041747,412.0,9565.0,64.4360093991,25.6898021533,383.256636125,23.2160194175,31.0
28.0,8.69030489521,4.04699681279,16.2181591689,589.25,42.343912,-71.102221,446.0,14902.0,355.344579575,60.8064594055,624.287291284,33.4125560538,32.0
29.0,9.50048435614,4.60075670201,18.5587779818,660.0,42.349046,-71.096831,433.0,21647.0,335.170141013,110.426404422,676.448542527,49.9930715935,33.0
30.0,8.94835783528,4.27676332795,17.0319165861,589.75,42.346171,-71.099855,280.0,3886.0,369.496471899,84.9613084382,697.808338546,13.8785714286,34.0
