Unnamed: 0,latitude,longitude,nrides
54,42.29,-71.0754545455,-21.7166695609
55,42.29,-71.0733333333,-22.1892113903
56,42.29,-71.0712121212,-21.6427240821
57,42.29,-71.0690909091,-20.1993707928
58,42.29,-71.066969697,-18.392466197
59,42.29,-71.0648484848,-16.9325734035
60,42.29,-71.0627272727,-16.2889897703
61,42.29,-71.0606060606,-16.39166884
62,42.29,-71.0584848485,-16.7732031632
63,42.29,-71.0563636364,-16.9555178333
64,42.29,-71.0542424242,-16.7485646438
65,42.29,-71.0521212121,-16.223927799
66,42.29,-71.05,-15.5393669734
67,42.29,-71.0478787879,-14.8413050728
68,42.29,-71.0457575758,-14.2392234649
69,42.29,-71.0436363636,-13.8093037922
70,42.29,-71.0415151515,-13.6052932937
71,42.29,-71.0393939394,-13.6539323713
72,42.29,-71.0372727273,-13.9675428763
73,42.29,-71.0351515152,-14.4996313731
74,42.29,-71.033030303,-15.1997433987
75,42.29,-71.0309090909,-16.0149938462
76,42.29,-71.0287878788,-16.8593844899
77,42.29,-71.0266666667,-17.6330039352
78,42.29,-71.0245454545,-18.2623031029
79,42.29,-71.0224242424,-18.6942536949
80,42.29,-71.0203030303,-18.9006178757
81,42.29,-71.0181818182,-18.9051886235
82,42.29,-71.0160606061,-18.7582117807
83,42.29,-71.0139393939,-18.5288237825
84,42.29,-71.0118181818,-18.2627287988
85,42.29,-71.0096969697,-18.0058022164
86,42.29,-71.0075757576,-17.7841356833
87,42.29,-71.0054545455,-17.6318303012
88,42.29,-71.0033333333,-17.5772010436
89,42.29,-71.0012121212,-17.5937747324
90,42.29,-70.9990909091,-17.6562357667
91,42.29,-70.996969697,-17.757995589
92,42.29,-70.9948484848,-17.8819230873
93,42.29,-70.9927272727,-18.0296335946
94,42.29,-70.9906060606,-18.1810704947
95,42.29,-70.9884848485,-18.3243884605
96,42.29,-70.9863636364,-18.4680432833
97,42.29,-70.9842424242,-18.6028254801
98,42.29,-70.9821212121,-18.7334352729
99,42.29,-70.98,-18.8574219786
100,42.2914141414,-71.19,-18.1403308258
101,42.2914141414,-71.1878787879,-17.979462275
102,42.2914141414,-71.1857575758,-17.8382856062
103,42.2914141414,-71.1836363636,-17.717927229
104,42.2914141414,-71.1815151515,-17.6134648692
105,42.2914141414,-71.1793939394,-17.5425120613
106,42.2914141414,-71.1772727273,-17.5088640737
107,42.2914141414,-71.1751515152,-17.5243779065
108,42.2914141414,-71.173030303,-17.5792737811
109,42.2914141414,-71.1709090909,-17.6583512642
110,42.2914141414,-71.1687878788,-17.7332592563
111,42.2914141414,-71.1666666667,-17.799844888
112,42.2914141414,-71.1645454545,-17.8335830494
113,42.2914141414,-71.1624242424,-17.7967144608
114,42.2914141414,-71.1603030303,-17.6694614536
115,42.2914141414,-71.1581818182,-17.4717194296
116,42.2914141414,-71.1560606061,-17.2195034397
117,42.2914141414,-71.1539393939,-16.9345965025
118,42.2914141414,-71.1518181818,-16.6647835386
119,42.2914141414,-71.1496969697,-16.4699981085
120,42.2914141414,-71.1475757576,-16.4016039238
121,42.2914141414,-71.1454545455,-16.4840841352
122,42.2914141414,-71.1433333333,-16.7279215049
123,42.2914141414,-71.1412121212,-17.0806671243
124,42.2914141414,-71.1390909091,-17.5066410938
125,42.2914141414,-71.136969697,-17.917216759
126,42.2914141414,-71.1348484848,-18.1846227167
127,42.2914141414,-71.1327272727,-18.2242214168
128,42.2914141414,-71.1306060606,-17.9710221346
129,42.2914141414,-71.1284848485,-17.407858481
130,42.2914141414,-71.1263636364,-16.5554981871
131,42.2914141414,-71.1242424242,-15.4754585576
132,42.2914141414,-71.1221212121,-14.2500976897
133,42.2914141414,-71.12,-12.9489513998
134,42.2914141414,-71.1178787879,-11.6680089379
135,42.2914141414,-71.1157575758,-10.5226658687
136,42.2914141414,-71.1136363636,-9.60497793555
137,42.2914141414,-71.1115151515,-8.95076761668
138,42.2914141414,-71.1093939394,-8.53158924044
139,42.2914141414,-71.1072727273,-8.25989280921
140,42.2914141414,-71.1051515152,-8.03461784281
141,42.2914141414,-71.103030303,-7.87102613252
142,42.2914141414,-71.1009090909,-7.75631372637
143,42.2914141414,-71.0987878788,-7.72289601795
144,42.2914141414,-71.0966666667,-7.82323900341
145,42.2914141414,-71.0945454545,-8.0970386926
146,42.2914141414,-71.0924242424,-8.57842834423
147,42.2914141414,-71.0903030303,-9.33237696324
148,42.2914141414,-71.0881818182,-10.3774471183
149,42.2914141414,-71.0860606061,-11.7255628107
150,42.2914141414,-71.0839393939,-13.3450240352
151,42.2914141414,-71.0818181818,-15.1488546486
152,42.2914141414,-71.0796969697,-16.9846107243
153,42.2914141414,-71.0775757576,-18.6353648547
154,42.2914141414,-71.0754545455,-19.8592680858
155,42.2914141414,-71.0733333333,-20.3901323854
156,42.2914141414,-71.0712121212,-20.0881977385
157,42.2914141414,-71.0690909091,-19.0779567479
158,42.2914141414,-71.066969697,-17.7907052251
159,42.2914141414,-71.0648484848,-16.7869571836
160,42.2914141414,-71.0627272727,-16.3955757588
161,42.2914141414,-71.0606060606,-16.5357814343
162,42.2914141414,-71.0584848485,-16.8438403794
