Municipality,Terminal,Station,Latitude,Longitude,Nb of prefixed docks,Installed,Install date
Boston,D32006,Lewis Wharf - Atlantic Ave.,42.363871,-71.050877,15,Yes,3/12/14 9:00
Boston,D32007,Boylston St. at Arlington St.,42.352096,-71.070378,23,Yes,3/27/14 12:00
Boston,D32008,Rowes Wharf - Atlantic Ave,42.357143,-71.050699,15,Yes,4/1/14 14:00
Boston,D32009,Faneuil Hall - Union St. at North St.,42.360583,-71.056868,19,Yes,3/31/14 10:00
Boston,D32010,Cross St. at Hanover St.,42.362811,-71.056067,19,Yes,4/1/14 13:00
Boston,D32011,Stuart St. at Charles St.,42.351146,-71.066289,19,Yes,3/10/14 10:00
Boston,D32012,Post Office Square,42.356755,-71.055407,19,Yes,3/28/13 11:00
Boston,D32013,Boylston St / Berkeley St,42.350989,-71.073644,15,Yes,4/24/14 13:37
Boston,D32014,Tremont St / West St,42.354979,-71.063348,15,Yes,3/10/14 9:00
Boston,D32015,Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.059367,15,Yes,4/1/14 13:00
Boston,D32016,Charles Circle - Charles St. at Cambridge St.,42.36069,-71.070884,15,Yes,8/8/14 11:00
Boston,D32017,The Esplanade - Beacon St. at Arlington St.,42.355596,-71.07278,15,Yes,3/14/14 11:00
Boston,D32018,Boston Convention & Exhibition Center,42.3475,-71.0441,19,Yes,3/19/14 10:00
Boston,D32019,Boylston St / Washington St,42.352409,-71.062679,15,Yes,3/14/14 10:00
Boston,D32020,Charlestown - Main St at Austin St,42.375603,-71.064608,15,Yes,3/28/14 14:00
Boston,D32021,Charlestown - Warren St at Chelsea St,42.371848,-71.060292,19,Yes,3/12/14 9:00
Boston,D32022,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515,27,Yes,4/1/14 10:00
Boston,D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,19,Yes,3/12/14 8:19
Boston,D32024,Charles St at Beacon St,42.356052,-71.069849,15,Yes,4/24/14 16:04
Boston,D32025,Milk St at India St,42.358508,-71.052984,19,Yes,3/31/14 14:38
Boston,D32026,Hayes Square at Vine St.,42.377022,-71.056605,19,Yes,3/28/14 16:47
Boston,D32027,New Balance Store - Boylston at Dartmouth,42.350413,-71.07655,15,Yes,4/24/14 13:38
Boston,E32001,JP Monument - South St at Centre St,42.309467,-71.115645,19,Yes,4/3/14 14:04
Boston,E32002,JP Center - Centre Street at Myrtle Street,42.313156,-71.11414,15,Yes,4/7/14 16:16
Boston,E32003,Hyde Square at Barbara St,42.320998,-71.110833,15,Yes,4/3/14 15:01
Boston,E32004,Egleston Square at Columbus Ave,42.315692,-71.098634,15,Yes,3/14/14 13:10
Boston,E32005,Green St T,42.310579,-71.107341,15,Yes,3/14/14 10:58
Boston,E32006,Jackson Square T at Centre St,42.322913,-71.100164,19,Yes,3/14/14 12:14
Brookline,K32001,Coolidge Corner - Beacon St @ Centre St,42.341598,-71.123338,19,Yes,4/25/14 11:14
Brookline,K32002,Washington Square at Washington St. / Beacon St.,42.339335,-71.13493,15,Yes,4/25/14 11:12
Brookline,K32003,Brookline Village - Station Street @ MBTA,42.332799,-71.116205,15,Yes,4/2/14 14:58
Brookline,K32004,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,15,Yes,4/2/14 13:00
Cambridge,M32001,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,19,Yes,4/4/13 9:00
Cambridge,M32002,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,21,Yes,3/27/13 10:00
Cambridge,M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,15,Yes,3/15/13 12:00
Cambridge,M32004,Kendall T at Main St,42.362457,-71.08497,19,Yes,3/15/13 11:00
Cambridge,M32005,MIT Stata Center at Vassar St / Main St,42.362429,-71.090188,25,Yes,3/15/13 10:00
Cambridge,M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,27,Yes,3/15/13 9:00
Cambridge,M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,15,Yes,3/21/13 10:00
Cambridge,M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.363562,-71.10042,19,Yes,3/21/14 14:00
Cambridge,M32010,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,19,Yes,3/21/13 9:00
Cambridge,M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,19,Yes,3/18/13 9:00
Cambridge,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,17,Yes,3/18/13 10:00
Cambridge,M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,19,Yes,3/21/13 12:00
Cambridge,M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,15,Yes,3/26/13 10:00
Cambridge,M32015,Harvard University River Houses / Plympton St at Memorial Drive,42.369832,-71.118201,19,Yes,4/26/13 9:00
Cambridge,M32016,Harvard Kennedy School at Bennett St / Eliot St,42.372244,-71.121851,23,Yes,3/18/13 13:00
Cambridge,M32017,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,15,Yes,3/18/13 12:00
Cambridge,M32018,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,19,Yes,3/18/13 11:00
Cambridge,M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,15,Yes,3/15/13 13:00
Cambridge,M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,19,Yes,3/27/13 9:00
Cambridge,M32021,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,15,Yes,4/4/13 11:00
Cambridge,M32022,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,19,Yes,3/26/13 9:00
Cambridge,M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,17,Yes,4/4/13 12:00
Cambridge,M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,19,Yes,3/21/13 11:00
Cambridge,M32025,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,19,Yes,7/2/13 13:56
Cambridge,M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,19,Yes,7/2/13 14:10
Cambridge,M32027,Biogen Idec - Binney St / Sixth St,42.366095,-71.086388,19,Yes,8/9/13 14:11
Cambridge,M32029,Porter Square Station,42.387995,-71.119084,19,Yes,6/17/13 15:01
Cambridge,M32030,Dana Park,42.361589,-71.107437,19,Yes,4/10/14 10:56
Cambridge,M32031,Danehy Park,42.388966,-71.132788,17,Yes,4/11/14 12:54
Cambridge,M32032,Biomed - Kendall Street,42.363753,-71.082063,15,Yes,5/14/14 10:44
Cambridge,M32033,Alewife Station at Russell Field,42.396105,-71.139459,23,Yes,7/11/14 10:00
Cambridge,M32034,EF - North Point Park,42.369885,-71.069957,23,Yes,6/25/14 10:00
Cambridge,M32036,Rindge Avenue - O'Neill Library,42.392766,-71.129042,19,Yes,8/29/14 13:48
Somerville,S32001,Somerville City Hall,42.386844,-71.09812,15,Yes,3/20/14 10:00
