,id,terminal,station,municipal,lat,lng,status,originpop,originwork,originsubway,destpop,destwork,destsubway
0,3,B32006,Colleges of the Fenway,Boston,42.340021,-71.100812,Existing,130012.147272,171462.091932,5983.55308644,601148.616046,1005202.928,60598.2077489
1,4,C32000,Tremont St. at Berkeley St.,Boston,42.345392,-71.069616,Existing,121321.874735,269727.082761,13801.1342966,984236.947561,1747213.1546,100287.611125
2,5,B32012,Northeastern U / North Parking Lot,Boston,42.341814,-71.090179,Existing,138675.634712,218971.853238,12123.7163737,757016.768986,1347828.71293,78405.9945825
3,6,D32000,Cambridge St. at Joy St.,Boston,42.361285,-71.06514,Existing,93879.6489998,282357.974491,30573.4248378,1099471.66323,1943149.99462,137806.371045
4,7,A32000,Fan Pier,Boston,42.353412,-71.044624,Existing,62128.5820501,208839.426275,4747.83672285,775737.168523,1271820.16663,85539.8061488
5,8,A32001,Union Square - Brighton Ave. at Cambridge St.,Boston,42.353334,-71.137313,Existing,94517.477443,57834.7791895,2921.59716988,338922.3725,357987.698659,16274.2618027
6,9,A32002,Agganis Arena - 925 Comm Ave.,Boston,42.351313,-71.116174,Existing,121256.180376,130142.250684,4674.69449661,508904.801435,710815.841194,50200.9262646
7,10,A32003,B.U. Central - 725 Comm. Ave.,Boston,42.350075,-71.105884,Existing,132393.964708,180897.011163,8216.41078189,626840.716577,985017.456681,69073.3627605
8,11,A32004,Longwood Ave / Binney St,Boston,42.338629,-71.1065,Existing,120537.636411,140306.470025,5648.41125309,514678.781363,810032.288873,49250.4532282
9,12,B32002,Ruggles Station / Columbus Ave.,Boston,42.335911,-71.088496,Existing,132431.492854,176305.922766,14380.3603655,659575.930261,1210663.20177,68052.8172224
10,13,C32002,Boston Medical Center - 721 Mass. Ave.,Boston,42.334057,-71.07403,Removed,124425.205315,164288.752754,2549.95264301,674219.310854,1217549.55494,65104.3475866
11,14,B32003,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,Boston,42.337171,-71.102797,Existing,122765.075525,146631.665752,7472.75250985,537611.937957,892549.438737,53350.6278296
12,15,A32005,Harvard Real Estate - Brighton Mills - 370 Western Ave,Boston,42.361667,-71.13802,Existing,86094.1150438,61221.6987224,16.8372132019,331890.68179,406776.65165,21116.8416165
13,16,C32003,Back Bay / South End Station,Boston,42.347433,-71.076163,Existing,129494.493283,281235.31718,33726.1003022,1001096.96058,1794130.64729,105203.537642
14,17,A32006,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,Boston,42.365074,-71.119581,Existing,110140.051281,110844.300646,1225.26139204,486766.243032,753223.325324,57152.0219253
15,18,A32007,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Boston,42.36337,-71.129791,Existing,96836.1930686,82185.8920869,49.6565142633,399554.094984,554976.585434,35503.4518472
16,19,A32008,Buswell Park,Boston,42.347527,-71.105828,Existing,131992.814758,177640.988062,9657.06287218,613156.600083,958557.609099,64624.9307425
17,20,B32004,Aquarium Station - 200 Atlantic Ave.,Boston,42.35977,-71.051601,Existing,72423.7038952,250180.345302,20328.3670257,949624.724887,1641543.05224,119237.069355
18,21,C32007,Prudential Center / Belvidere,Boston,42.345959,-71.082578,Existing,136763.818195,262585.373495,24012.8309759,914102.54392,1638221.18176,95834.1330545
19,22,A32010,South Station - 700 Atlantic Ave.,Boston,42.352175,-71.055547,Existing,87056.361385,273446.073237,45583.4020454,1013070.50123,1736015.40635,112107.505066
20,23,B32008,Mayor Thomas M. Menino - Government Center,Boston,42.359677,-71.059364,Removed,86436.5890624,282621.71721,58801.0455559,1079986.06819,1897621.53621,134419.267422
21,24,B32007,Seaport Square - Seaport Blvd. at Boston Wharf,Boston,42.351821,-71.045461,Existing,64821.9722084,211021.049289,6442.05294875,784655.173632,1279261.88152,83891.9968601
22,25,A32009,Tremont St / W Newton St,Boston,42.341332,-71.076847,Existing,132083.970562,236264.53949,12131.1035962,860213.364266,1555573.01599,86283.8741951
23,26,D32002,Washington St. at Waltham St.,Boston,42.341522,-71.068922,Existing,121394.391355,234948.448207,4872.10634762,879689.409852,1555357.09746,85862.1809812
24,27,C32001,Roxbury Crossing Station,Boston,42.331567,-71.094734,Existing,120820.847443,129334.664487,10705.2251799,527515.383413,961220.886819,56173.9109718
25,29,A32011,Innovation Lab - 125 Western Ave. at Batten Way,Boston,42.363732,-71.124565,Existing,104355.005241,97024.4600347,258.504585298,444808.99271,653555.02076,46166.2701055
26,30,B32013,Brigham Cir / Huntington Ave,Boston,42.334073,-71.105221,Existing,113085.935701,118992.591894,6940.08804268,467883.674783,765615.19596,46197.6343191
27,31,B32014,Seaport Hotel,Boston,42.348833,-71.041747,Existing,58308.3041542,173313.196745,3236.91507131,652309.637798,1016318.42891,63727.4601217
28,32,B32015,Landmark Centre,Boston,42.343912,-71.102221,Existing,133230.852296,184516.373006,7661.61388509,630508.182277,1026024.268,64784.9822622
29,33,B32010,Kenmore Sq / Comm Ave,Boston,42.349046,-71.096831,Existing,138194.599176,223571.797588,13913.7269571,751702.601396,1270663.4166,83335.8966659
30,34,B32009,Overland St at Brookline Ave,Boston,42.346171,-71.099855,Removed,136639.376946,203382.404676,10705.1248632,685157.237091,1135201.44206,72962.5633387
31,35,D32004,Summer St. / Arch St.,Boston,42.354594,-71.05896,Removed,91692.9827612,291653.753726,67912.0691534,1084701.81848,1892050.11028,125162.501818
32,36,D32005,Boston Public Library - 700 Boylston St.,Boston,42.349673,-71.077303,Existing,128792.080582,288981.417564,33195.7430924,1027185.52604,1837481.67662,110563.746694
33,37,D32001,New Balance - 38 Guest St.,Boston,42.357247,-71.146452,Removed,80414.7921963,44602.3699968,73.0441794322,280430.587837,283580.790539,10697.4427132
34,38,D32003,TD Garden - Legends Way,Boston,42.366231,-71.060868,Removed,81009.8133657,238717.152258,11770.7541894,975691.740794,1708267.15262,131391.709891
35,39,C32006,Washington St. at Rutland St.,Boston,42.338623,-71.074182,Existing,128130.97155,210385.938537,5627.07633475,796830.038551,1437299.154,78008.8906183
36,40,D32006,Lewis Wharf - Atlantic Ave.,Boston,42.363871,-71.050877,Existing,69147.1017856,225296.583391,8202.92438837,881157.78559,1531762.24481,117720.75233
37,41,A32012,Packard's Corner - Comm. Ave. at Brighton Ave.,Boston,42.352261,-71.123831,Existing,111568.704719,97402.401554,5918.71315561,439529.952079,554652.48789,36075.7757318
38,42,D32007,Boylston St. at Arlington St.,Boston,42.352096,-71.070378,Existing,116062.484922,303480.063034,25808.694158,1106742.73545,1970541.30021,122356.051569
39,43,D32008,Rowes Wharf - Atlantic Ave,Boston,42.357143,-71.050699,Existing,72458.7767862,251527.149594,19399.0918121,941889.923349,1611980.42485,113154.741685
40,44,D32009,Faneuil Hall - Union St. at North St.,Boston,42.360583,-71.056868,Existing,81060.2418411,270508.850544,46073.2607135,1038010.22926,1817196.79463,131420.605412
41,45,B32011,Yawkey Way at Boylston St.,Boston,42.344763,-71.09788,Existing,137365.577347,207226.021024,9058.36025682,698807.57277,1179113.77491,73597.9773422
42,46,B32005,Christian Science Plaza,Boston,42.343864,-71.085918,Existing,138934.050081,243011.103046,17324.2916753,840848.537506,1506037.64767,87451.2547698
43,47,D32010,Cross St. at Hanover St.,Boston,42.362811,-71.056067,Existing,77611.7563375,254575.058536,28561.5696073,993854.881841,1739729.45595,130001.171095
44,48,D32012,Post Office Square,Boston,42.356755,-71.055407,Existing,82163.7180493,276896.210496,51245.1715844,1037694.79658,1800067.04626,124064.180339
45,49,D32011,Stuart St. at Charles St.,Boston,42.351146,-71.066289,Existing,110203.729137,300033.40439,32607.8290465,1099160.81769,1943171.39701,120203.709163
46,50,D32013,Boylston St / Berkeley St,Boston,42.350989,-71.073644,Existing,122454.354339,298257.992901,28048.131403,1075599.33221,1920802.19975,117252.781971
47,51,C32005,Washington St. at Lenox St.,Boston,42.3348756,-71.0790969,Existing,129318.224295,174133.334077,4712.57710521,687421.574072,1264389.74134,68665.6707189
48,52,B32000,Newbury St / Hereford St,Boston,42.348717,-71.085954,Existing,137242.417378,264598.865651,18179.9577646,910320.900008,1613063.84058,98470.2972299
49,53,B32016,Beacon St / Mass Ave,Boston,42.350851,-71.089886,Existing,137044.705624,254219.569728,12475.291572,869867.709191,1519194.37282,97224.8383685
50,54,D32014,Tremont St / West St,Boston,42.354979,-71.063348,Existing,99808.8861808,302507.173294,61735.4822979,1125434.87772,1984720.14845,130184.639146
51,55,B32018,Boylston / Mass Ave,Boston,42.347265,-71.088088,Existing,139034.249828,253375.835527,17474.3820719,864141.923071,1525920.91705,92630.4582175
52,56,B32017,Dudley Square,Boston,42.3281898,-71.0833545,Removed,120392.432792,113148.593306,4213.96214959,528733.072131,982472.944124,55850.2625515
53,57,C32004,Columbus Ave. at Mass. Ave.,Boston,42.340799,-71.081572,Existing,135915.037834,228104.974814,14154.2721128,818881.844525,1487847.04408,83127.5873228
54,58,D32017,The Esplanade - Beacon St. at Arlington St.,Boston,42.355596,-71.07278,Existing,114561.759476,301044.306324,15751.6480151,1114026.15982,1984531.67404,128271.501188
55,59,D32015,Chinatown Gate Plaza - Surface Rd. at Beach St.,Boston,42.351356,-71.059367,Existing,96180.6016077,286007.180658,48396.5197951,1056568.7003,1832227.15539,115752.224847
56,60,D32016,Charles Circle - Charles St. at Cambridge St.,Boston,42.360877,-71.07131,Removed,103651.712408,280958.534404,16698.963282,1092644.45261,1934231.23706,133929.238157
57,61,C32008,Boylston at Fairfield,Boston,42.348323,-71.082674,Removed,135396.61066,272721.175484,24508.2007858,948786.366328,1693064.02861,101550.541203
58,62,B32019,Longwood Ave/Riverway,Boston,42.340299,-71.109927,Existing,118763.50926,133385.364484,5476.29185468,495104.69471,736014.670526,45483.3435013
59,63,C32009,Dorchester Ave. at Gillette Park,Boston,42.344023,-71.057054,Existing,97312.6515774,228970.56836,8918.1394271,868633.071625,1452603.17894,83325.614846
60,64,C32010,Congress / Sleeper,Boston,42.3511,-71.0496,Existing,74644.4924321,236570.326748,16857.8959701,879061.808012,1459135.26537,94024.5941874
61,65,D32018,Boston Convention & Exhibition Center,Boston,42.3475,-71.0441,Existing,64536.6607659,183120.071894,3409.52887748,692611.250795,1084768.72275,66472.0786312
62,66,A32017,Allston Green District - Commonwealth Ave & Griggs St,Boston,42.348607,-71.13401,Existing,98417.8059617,61025.4396215,6462.34074473,347864.160743,354324.28265,16557.5949465
63,67,M32006,MIT at Mass Ave / Amherst St,Cambridge,42.3581,-71.093198,Existing,129059.820248,226418.979658,3771.4657348,819853.777013,1412478.77909,101114.336104
64,68,M32011,Central Square at Mass Ave / Essex St,Cambridge,42.36507,-71.1031,Existing,121708.062618,158948.750075,16547.6999017,643349.535647,1074110.82431,86667.1173422
65,69,K32001,Coolidge Corner - Beacon St @ Centre St,Brookline,42.341598,-71.123338,Existing,102680.378474,81352.6915781,5365.36748213,377678.614984,433171.062932,24703.569049
66,70,M32016,Harvard Kennedy School at Bennett St / Eliot St,Cambridge,42.372244,-71.121851,Existing,103698.592374,97864.9534811,17758.1288108,456945.327289,707029.460098,50637.7366407
67,71,S32004,Conway Park - Somerville Avenue,Somerville,42.383405,-71.107593,Existing,106419.171191,77984.1312621,251.065252016,480184.30627,665058.704407,46522.8433669
68,72,M32003,One Broadway / Kendall Sq at Main St / 3rd St,Cambridge,42.362613,-71.084105,Existing,115633.173288,234305.434958,14319.124672,924227.605572,1608538.23539,114125.026045
69,73,M32017,Harvard Square at Brattle St / Eliot St,Cambridge,42.373231,-71.120886,Existing,104604.792921,98213.2775965,21301.5421663,462378.484147,715437.434818,51441.3892158
70,74,M32018,Harvard Square at Mass Ave/ Dunster,Cambridge,42.373268,-71.118579,Existing,107232.608184,101681.613451,22683.7827195,479078.253345,747230.242852,55083.9214123
71,75,M32009,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge,42.363562,-71.10042,Existing,123413.483634,174173.622875,12831.2697982,684219.466041,1151926.13505,91179.5754807
72,76,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Cambridge,42.366426,-71.105495,Existing,119986.981489,146582.237953,14146.7246667,610474.209544,1011230.97844,82293.2926157
73,77,S32001,Somerville City Hall,Somerville,42.386428,-71.096413,Existing,95642.2525347,61439.0190303,4.10238933707,457661.658147,600089.296476,41706.7601519
74,78,S32002,Union Square - Somerville,Somerville,42.379637,-71.095319,Existing,103390.974923,92213.4552709,4.08030101228,553070.732858,812377.467524,61458.6724317
75,79,S32003,Beacon St at Washington / Kirkland,Somerville,42.378551,-71.106541,Existing,110398.855791,95700.5263477,399.515803742,522415.201467,782089.536375,58814.8123529
76,80,M32005,MIT Stata Center at Vassar St / Main St,Cambridge,42.362429,-71.090188,Existing,120969.588214,214852.633459,12125.4658937,835674.708943,1440847.45276,105364.959509
77,81,D32019,Boylston St / Washington St,Boston,42.352409,-71.062679,Existing,101784.098659,298333.204446,51924.3648516,1100705.87787,1932122.53455,122677.580517
