,nodeid,latitude,longitude
139,3616306372,42.3619166,-71.0782129
140,1040041717,42.3619312,-71.0782355
141,328830727,42.3627040,-71.0781741
142,1040666658,42.3628638,-71.0780083
143,328816117,42.3628411,-71.0779642
144,1039600485,42.3677838,-71.0732206
145,1727290905,42.3680769,-71.0729299
146,1040617174,42.3675916,-71.0719608
147,1040466043,42.3674785,-71.0720488
148,1039588935,42.3672319,-71.0715722
149,1039928283,42.3673317,-71.0714617
150,1040599743,42.3668997,-71.0706133
151,1040231075,42.3668325,-71.0706761
152,1040329900,42.3667979,-71.0706086
153,328280817,42.3665465,-71.0708180
154,328307714,42.3661757,-71.0700945
155,327672153,42.3661049,-71.0699665
156,327647572,42.3657247,-71.0703156
157,327673370,42.3656145,-71.0701080
158,327295098,42.3655627,-71.0700820
159,327671331,42.3648914,-71.0704072
160,327644249,42.3650367,-71.0709569
161,1040706655,42.3650185,-71.0709657
162,1040181343,42.3650170,-71.0709994
163,1040557850,42.3650090,-71.0710351
164,1040257188,42.3649908,-71.0711185
165,1040533038,42.3649617,-71.0712298
166,1522547726,42.3649376,-71.0713057
167,1522547678,42.3649090,-71.0714335
168,1040220504,42.3648771,-71.0715643
169,1040182195,42.3648406,-71.0716968
170,1039632094,42.3647935,-71.0718467
171,1040598636,42.3647257,-71.0720230
172,1040481587,42.3646465,-71.0721963
173,1039961060,42.3645643,-71.0723369
174,1040478996,42.3644725,-71.0724646
175,1040060802,42.3643733,-71.0725844
176,1040374456,42.3642769,-71.0726700
177,1039952757,42.3641994,-71.0727295
178,1040483871,42.3640698,-71.0728082
179,1040231533,42.3639203,-71.0728794
180,1040655605,42.3638018,-71.0729177
181,1040559097,42.3637029,-71.0729357
182,1040051881,42.3635503,-71.0729528
183,1040696250,42.3633591,-71.0729890
184,1040482523,42.3631910,-71.0730187
185,1040055236,42.3630241,-71.0730328
186,1040525285,42.3628488,-71.0730702
187,1040496799,42.3626693,-71.0730867
188,1039715679,42.3623604,-71.0731372
189,1040579404,42.3621995,-71.0731279
190,1040423159,42.3618920,-71.0730211
191,1040289563,42.3617355,-71.0730280
192,2086554096,42.3616354,-71.0730432
193,1727290902,42.3615116,-71.0730797
194,1727290900,42.3611786,-71.0731262
195,1040649093,42.3611174,-71.0730994
196,1040615371,42.3605845,-71.0731146
197,1040473950,42.3601771,-71.0730950
198,1040371328,42.3600238,-71.0731504
199,1039868052,42.3592988,-71.0734221
200,1039954869,42.3591986,-71.0732190
201,1039740605,42.3591036,-71.0731467
202,1727247453,42.3589883,-71.0731296
203,1727252377,42.3588903,-71.0731369
204,1727247451,42.3588590,-71.0731494
205,1727247452,42.3588246,-71.0731615
206,1727252376,42.3588182,-71.0731332
207,1727252375,42.3588069,-71.0731364
208,1040058856,42.3587926,-71.0731278
209,1040701261,42.3579686,-71.0734580
210,1727247446,42.3579751,-71.0735044
211,1727247445,42.3579408,-71.0735190
212,1040574724,42.3579227,-71.0735272
213,1727247444,42.3579363,-71.0736051
214,1040688468,42.3577622,-71.0736756
215,1039568650,42.3577173,-71.0737224
216,1040446674,42.3576692,-71.0738623
217,1727247442,42.3576558,-71.0739514
218,1040347514,42.3576767,-71.0740663
219,1769091079,42.3576167,-71.0740926
220,1039780348,42.3573184,-71.0742231
221,1040372715,42.3572806,-71.0743345
222,1727247441,42.3572184,-71.0743976
223,1040635892,42.3570295,-71.0743796
224,1040697893,42.3567840,-71.0745470
225,1040443562,42.3564683,-71.0747986
226,1040417975,42.3561432,-71.0751921
227,1039838705,42.3559104,-71.0755640
228,1727247440,42.3557902,-71.0758658
229,1040606265,42.3554146,-71.0772209
230,1727247439,42.3553855,-71.0774406
231,1039875212,42.3553522,-71.0775669
