,stationid,duration,nrides,ndays,lat,lng,originpop,originwork,originsubway,destpop,destwork,destsubway,ridesperday
49,53.0,541.0,23681.0,435.0,42.350851,-71.089886,37177.7564579,87261.1743153,12475.291572,253645.985541,496141.339741,97224.8383685,54.4390804598
50,54.0,660.0,16900.0,411.0,42.354979,-71.063348,31957.9009387,156400.028043,61735.4822979,339268.017601,671587.152806,130184.639146,41.1192214112
51,55.0,540.0,15719.0,410.0,42.347265,-71.088088,45049.4264171,102257.661517,17474.3820719,252555.253364,499854.130846,92630.4582175,38.3390243902
52,56.0,671.0,1619.0,163.0,42.3281898,-71.0833545,35841.4699737,15969.4581191,4213.96214959,144299.731612,331179.594991,55850.2625515,9.93251533742
53,57.0,480.0,12646.0,429.0,42.340799,-71.081572,45758.1739711,77666.5933357,14154.2721128,238095.169556,490766.79428,83127.5873228,29.4778554779
54,58.0,660.0,17864.0,402.0,42.355596,-71.07278,33376.9678227,118439.864581,15751.6480151,331264.694756,662562.100157,128271.501188,44.4378109453
55,59.0,540.0,10290.0,416.0,42.351356,-71.059367,26566.8034775,137017.181442,48396.5197951,319774.474138,618222.589426,115752.224847,24.7355769231
56,60.0,742.5,8648.0,189.0,42.360877,-71.07131,28611.8501332,108212.857846,16698.963282,322221.812965,647956.444612,133929.238157,45.7566137566
57,61.0,654.75,6138.0,164.0,42.348323,-71.082674,40521.8210196,100342.544409,24508.2007858,279449.196355,556466.991105,101550.541203,37.4268292683
58,62.0,780.0,5199.0,366.0,42.340299,-71.109927,33727.8842842,40147.0247619,5476.29185468,140094.90132,235979.191837,45483.3435013,14.2049180328
59,63.0,556.25,5149.0,382.0,42.344023,-71.057054,23805.9009715,66275.7368446,8918.1394271,260489.896388,480632.344158,83325.614846,13.4790575916
60,64.0,495.0,16471.0,367.0,42.3511,-71.0496,13963.9479516,104505.876628,16857.8959701,267155.894302,490869.066565,94024.5941874,44.8801089918
61,65.0,693.5,4409.0,352.0,42.3475,-71.0441,12359.8124852,59816.8327108,3409.52887748,209552.298967,357885.81449,66472.0786312,12.5255681818
62,66.0,900.0,4426.0,237.0,42.348607,-71.13401,31063.8864647,11473.5647347,6462.34074473,108762.380999,88253.2402638,16557.5949465,18.6751054852
63,67.0,480.0,23370.0,258.0,42.3581,-71.093198,27644.381102,52928.965177,3771.4657348,234203.5906,456896.865855,101114.336104,90.5813953488
64,68.0,600.0,13936.0,259.0,42.36507,-71.1031,41581.7758482,52667.5293213,16547.6999017,176076.258842,333353.969683,86667.1173422,53.8069498069
65,69.0,840.0,6356.0,255.0,42.341598,-71.123338,31589.2998811,11922.5867657,5365.36748213,111563.060167,125936.989741,24703.569049,24.9254901961
66,70.0,660.0,7016.0,260.0,42.372244,-71.121851,26771.5155412,31086.2546967,17758.1288108,116723.270034,181885.048682,50637.7366407,26.9846153846
67,71.0,660.0,2935.0,245.0,42.383405,-71.107593,26999.4583054,13744.9363477,251.065252016,110678.809149,159063.852814,46522.8433669,11.9795918367
68,72.0,604.0,10415.0,251.0,42.362613,-71.084105,21355.9404102,50030.5487975,14319.124672,263235.293957,522251.385093,114125.026045,41.4940239044
69,73.0,765.5,6504.0,261.0,42.373231,-71.120886,27823.8177825,32543.1558385,21301.5421663,116558.746037,183236.660643,51441.3892158,24.9195402299
70,74.0,780.0,15547.0,261.0,42.373268,-71.118579,26523.3836439,30313.8150279,22683.7827195,120896.14918,195102.733402,55083.9214123,59.5670498084
71,75.0,600.0,14412.0,255.0,42.363562,-71.10042,40006.0006178,53447.028002,12831.2697982,189215.344922,362803.941613,91179.5754807,56.5176470588
72,76.0,600.0,11072.0,262.0,42.366426,-71.105495,40236.8735527,49104.147181,14146.7246667,165449.136208,308543.401783,82293.2926157,42.2595419847
73,77.0,900.0,1835.0,252.0,42.386428,-71.096413,39917.9133907,11647.7129064,4.10238933707,108726.303957,147567.637537,41706.7601519,7.28174603175
74,78.0,720.0,4092.0,257.0,42.379637,-71.095319,34848.1310745,15945.5037754,4.08030101228,137897.817773,223023.779819,61458.6724317,15.9221789883
75,79.0,600.0,5393.0,252.0,42.378551,-71.106541,28027.5438134,18330.2174031,399.515803742,126917.493485,205118.16777,58814.8123529,21.4007936508
76,80.0,600.0,15279.0,256.0,42.362429,-71.090188,25011.4448233,45216.076821,12125.4658937,235310.275165,462976.178628,105364.959509,59.68359375
77,81.0,570.0,9283.0,253.0,42.352409,-71.062679,31409.4353396,145024.71291,51924.3648516,332292.383329,651822.00986,122677.580517,36.6916996047
78,82.0,1000.0,301.0,39.0,42.333689,-71.120526,12562.5568107,4905.73276651,3727.75145815,94204.8406664,122638.489031,23966.0981453,7.71794871795
79,83.0,960.0,1055.0,218.0,42.325941,-71.065928,21592.4117054,8001.10756054,816.029593115,132684.745282,244689.49141,40839.0038302,4.83944954128
80,84.0,780.0,7870.0,252.0,42.366981,-71.076472,21926.0729401,51818.1470052,7981.60054054,266922.218258,529781.225381,119098.467363,31.2301587302
81,85.0,757.0,236.0,35.0,42.330825,-71.057007,23573.111892,10535.5977408,6258.53049005,148076.727177,246929.989249,39810.276869,6.74285714286
82,86.0,930.0,3685.0,247.0,42.332799,-71.116205,11419.7359036,6183.16179435,4244.25744028,98646.8443903,150927.812984,29381.6733328,14.9190283401
