Unnamed: 0,destpop,destsubway,destwork,duration,lat,lng,ndays,nrides,originpop,originsubway,originwork,ridesperday,stationid
93.0,132443.198094,61069.152904,220412.296902,923.0,42.369182,-71.117152,14.0,123.0,24544.1449356,9202.12328872,26984.7782725,8.78571428571,97.0
94.0,233707.374442,114632.248382,467351.2677,780.0,42.371848,-71.060292,229.0,8428.0,19640.6382801,1203.32353413,44847.1833737,36.8034934498,98.0
95.0,321485.822925,131384.273563,635968.227064,600.0,42.35892,-71.057629,213.0,9589.0,25659.6659261,58694.7003755,164436.142358,45.0187793427,99.0
96.0,146082.552931,56637.8330344,336122.868219,915.0,42.328654,-71.084198,196.0,881.0,36437.5469721,4838.13207011,17216.7563949,4.49489795918,100.0
97.0,192440.55181,70716.0846366,358256.236039,660.0,42.345733,-71.100694,45.0,355.0,52189.8839067,9970.09506919,96735.1739529,7.88888888889,101.0
98.0,213064.256431,71144.6886559,436615.988408,630.0,42.336437,-71.073089,185.0,5837.0,37529.7578067,3609.00092615,39274.2496284,31.5513513514,102.0
99.0,282337.814111,102918.505744,561916.994244,660.0,42.348762,-71.082383,188.0,11052.0,39663.1282971,24706.2111045,99944.3939057,58.7872340426,103.0
100.0,147422.739458,39617.9059882,245680.058242,765.0,42.330716,-71.057044,120.0,1116.0,23498.2164912,6331.92448526,10414.8867297,9.3,104.0
101.0,133302.13224,48063.0069597,282846.895077,870.0,42.325333,-71.075354,162.0,471.0,26803.7274352,349.067265381,9401.47848211,2.90740740741,105.0
102.0,143794.269981,35116.0209742,215257.747259,660.0,42.335693,-71.045859,40.0,487.0,33614.7991596,169.691584575,19319.0927142,12.175,106.0
103.0,110900.019384,24317.3241683,149085.047239,720.0,42.335741,-71.03877,42.0,237.0,25462.4221915,6.51362908087,14158.4938372,5.64285714286,107.0
104.0,107242.469157,29895.5105356,167964.449621,960.0,42.320561,-71.06198,35.0,53.0,30998.2049426,1451.08604703,9188.79451227,1.51428571429,108.0
105.0,102858.336753,30281.5521473,160622.971742,840.0,42.317225,-71.065421,24.0,39.0,30814.3925884,161.406558789,8488.43304072,1.625,109.0
106.0,91502.0308019,11197.3887717,63348.911167,1080.0,42.356975,-71.145442,186.0,1037.0,23289.0053196,117.529324059,9338.91299144,5.5752688172,110.0
107.0,286815.312707,130737.530452,577416.767999,660.0,42.366222,-71.059914,215.0,10690.0,23609.8613842,12093.2872804,102894.989412,49.7209302326,111.0
108.0,326280.216506,125922.342038,638165.383644,480.0,42.355402,-71.058087,210.0,9899.0,25765.8442702,67143.9051924,162105.72638,47.1380952381,112.0
109.0,324086.598619,134399.004037,651728.956605,660.0,42.36069,-71.070884,211.0,15506.0,29036.0051699,17414.7090573,111571.788509,73.4881516588,113.0
110.0,290526.900177,131727.948668,584993.621392,600.0,42.365942,-71.060515,182.0,15239.0,24234.0812058,13249.3664149,105658.504291,83.7307692308,114.0
111.0,140945.523332,76776.1430749,278045.848467,780.0,42.378338,-71.048927,176.0,3249.0,8388.6851133,60.5187020995,8540.54141959,18.4602272727,115.0
112.0,337817.437147,131526.388629,675593.851271,540.0,42.356052,-71.069849,43.0,1060.0,33988.0334195,23375.1030614,132431.205018,24.6511627907,116.0
113.0,299133.835634,121441.324259,582897.659782,480.0,42.358508,-71.052984,42.0,655.0,19434.64075,30983.153587,150034.211388,15.5952380952,117.0
114.0,173852.762659,91302.0352497,341673.704162,870.0,42.377022,-71.056605,39.0,150.0,14541.9944159,54.6533335858,16349.0160702,3.84615384615,118.0
115.0,310103.375452,113208.110734,617906.422528,570.0,42.350413,-71.07655,22.0,299.0,39018.2790166,31310.0116454,109093.009591,13.5909090909,119.0
116.0,59553.0837572,31575.3478839,81169.7137836,1110.0,42.309467,-71.115645,42.0,186.0,32792.8914869,1386.57877071,12754.6114899,4.42857142857,120.0
