,stationid,duration,nrides,ndays,lat,lng,originpop,originwork,originsubway,destpop,destwork,destsubway,ridesperday
0,3.0,660.0,7653.0,442.0,42.340021,-71.100812,130012.147272,171462.091932,5983.55308644,601148.616046,1005202.928,60598.2077489,17.314479638
1,4.0,538.0,12573.0,419.0,42.345392,-71.069616,121321.874735,269727.082761,13801.1342966,984236.947561,1747213.1546,100287.611125,30.0071599045
2,5.0,541.0,7718.0,419.0,42.341814,-71.090179,138675.634712,218971.853238,12123.7163737,757016.768986,1347828.71293,78405.9945825,18.4200477327
3,6.0,600.0,17133.0,435.0,42.361285,-71.06514,93879.6489998,282357.974491,30573.4248378,1099471.66323,1943149.99462,137806.371045,39.3862068966
4,7.0,600.0,7028.0,403.0,42.353412,-71.044624,62128.5820501,208839.426275,4747.83672285,775737.168523,1271820.16663,85539.8061488,17.4392059553
5,8.0,912.0,5274.0,439.0,42.353334,-71.137313,94517.477443,57834.7791895,2921.59716988,338922.3725,357987.698659,16274.2618027,12.013667426
6,9.0,720.0,12393.0,422.0,42.351313,-71.116174,121256.180376,130142.250684,4674.69449661,508904.801435,710815.841194,50200.9262646,29.3672985782
7,10.0,600.5,12190.0,420.0,42.350075,-71.105884,132393.964708,180897.011163,8216.41078189,626840.716577,985017.456681,69073.3627605,29.0238095238
8,11.0,675.0,10544.0,444.0,42.338629,-71.1065,120537.636411,140306.470025,5648.41125309,514678.781363,810032.288873,49250.4532282,23.7477477477
9,12.0,559.0,8300.0,445.0,42.335911,-71.088496,132431.492854,176305.922766,14380.3603655,659575.930261,1210663.20177,68052.8172224,18.6516853933
10,13.0,693.25,3149.0,230.0,42.334057,-71.07403,124425.205315,164288.752754,2549.95264301,674219.310854,1217549.55494,65104.3475866,13.6913043478
11,14.0,660.0,13359.0,446.0,42.337171,-71.102797,122765.075525,146631.665752,7472.75250985,537611.937957,892549.438737,53350.6278296,29.9529147982
12,15.0,1011.5,3078.0,436.0,42.361667,-71.13802,86094.1150438,61221.6987224,16.8372132019,331890.68179,406776.65165,21116.8416165,7.05963302752
13,16.0,550.25,26179.0,446.0,42.347433,-71.076163,129494.493283,281235.31718,33726.1003022,1001096.96058,1794130.64729,105203.537642,58.697309417
14,17.0,854.5,8152.0,443.0,42.365074,-71.119581,110140.051281,110844.300646,1225.26139204,486766.243032,753223.325324,57152.0219253,18.4018058691
15,18.0,780.0,4897.0,418.0,42.36337,-71.129791,96836.1930686,82185.8920869,49.6565142633,399554.094984,554976.585434,35503.4518472,11.7153110048
16,19.0,678.0,4630.0,238.0,42.347527,-71.105828,131992.814758,177640.988062,9657.06287218,613156.600083,958557.609099,64624.9307425,19.4537815126
17,20.0,510.0,17610.0,444.0,42.35977,-71.051601,72423.7038952,250180.345302,20328.3670257,949624.724887,1641543.05224,119237.069355,39.6621621622
