,Unnamed: 0,GEO.id,zip,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN,city,state,latitude,longitude,timezone,dst
146,146,8610000US02304,2304,"ZIP 02304 (Brockton, MA)",0,Total for all sectors,2012,3,,D,D,Brockton,MA,41.970474,-70.701357,-5,1
147,147,8610000US02305,2305,"ZIP 02305 (Brockton, MA)",0,Total for all sectors,2012,5,,D,D,Brockton,MA,41.970474,-70.701357,-5,1
148,148,8610000US02322,2322,"ZIP 02322 (Avon, MA)",0,Total for all sectors,2012,229,4700.0,57616,243757,Avon,MA,42.121932,-71.04522,-5,1
149,149,8610000US02339,2339,"ZIP 02339 (Hanover, MA)",0,Total for all sectors,2012,615,7017.0,57631,245558,Hanover,MA,42.12867,-70.85913,-5,1
150,150,8610000US02343,2343,"ZIP 02343 (Holbrook, MA)",0,Total for all sectors,2012,247,2376.0,22613,105842,Holbrook,MA,42.148351,-71.01037,-5,1
151,151,8610000US02351,2351,"ZIP 02351 (Abington, MA)",0,Total for all sectors,2012,322,3738.0,28589,126808,Abington,MA,42.119534,-70.94787,-5,1
152,152,8610000US02368,2368,"ZIP 02368 (Randolph, MA)",0,Total for all sectors,2012,583,7909.0,74477,319818,Randolph,MA,42.173417,-71.04912,-5,1
153,153,8610000US02370,2370,"ZIP 02370 (Rockland, MA)",0,Total for all sectors,2012,465,6623.0,90116,431715,Rockland,MA,42.129513,-70.91189,-5,1
154,154,8610000US02382,2382,"ZIP 02382 (Whitman, MA)",0,Total for all sectors,2012,227,2241.0,15867,73535,Whitman,MA,42.08235,-70.93734,-5,1
155,155,8610000US02420,2420,"ZIP 02420 (Lexington, MA)",0,Total for all sectors,2012,492,4647.0,63672,249713,Lexington,MA,42.452895,-71.21619,-5,1
156,156,8610000US02421,2421,"ZIP 02421 (Lexington, MA)",0,Total for all sectors,2012,562,12321.0,386816,1406798,Lexington,MA,42.439295,-71.23553,-5,1
157,157,8610000US02445,2445,"ZIP 02445 (Brookline, MA)",0,Total for all sectors,2012,479,5148.0,57458,255028,Brookline,MA,42.324397,-71.13933,-5,1
158,158,8610000US02446,2446,"ZIP 02446 (Brookline, MA)",0,Total for all sectors,2012,723,7090.0,59807,253544,Brookline,MA,42.344747,-71.12141,-5,1
159,159,8610000US02447,2447,"ZIP 02447 (Brookline Village, MA)",0,Total for all sectors,2012,9,,S,1118,Brookline Village,MA,42.180048,-71.08923,-5,1
160,160,8610000US02451,2451,"ZIP 02451 (Waltham, MA)",0,Total for all sectors,2012,1274,41089.0,945596,3689142,Waltham,MA,42.393029,-71.24771,-5,1
161,161,8610000US02452,2452,"ZIP 02452 (Waltham, MA)",0,Total for all sectors,2012,412,7000.0,72311,310022,Waltham,MA,42.392496,-71.22153,-5,1
162,162,8610000US02453,2453,"ZIP 02453 (Waltham, MA)",0,Total for all sectors,2012,788,16706.0,264791,1026533,Waltham,MA,42.370446,-71.23563,-5,1
163,163,8610000US02454,2454,"ZIP 02454 (Waltham, MA)",0,Total for all sectors,2012,39,1009.0,32953,118318,Waltham,MA,42.356719,-71.250479,-5,1
