Unnamed: 0,latitude,longitude,nrides
111,42.2914141414,-71.1666666667,-17.8258378837
112,42.2914141414,-71.1645454545,-17.4536326919
113,42.2914141414,-71.1624242424,-17.0916382335
114,42.2914141414,-71.1603030303,-16.7449852545
115,42.2914141414,-71.1581818182,-16.4054169404
116,42.2914141414,-71.1560606061,-16.0495024859
117,42.2914141414,-71.1539393939,-15.6405485607
118,42.2914141414,-71.1518181818,-15.1343657834
119,42.2914141414,-71.1496969697,-14.488067125
120,42.2914141414,-71.1475757576,-13.670237187
121,42.2914141414,-71.1454545455,-12.6702762367
122,42.2914141414,-71.1433333333,-11.5045907782
123,42.2914141414,-71.1412121212,-10.217671483
124,42.2914141414,-71.1390909091,-8.8770582125
125,42.2914141414,-71.136969697,-7.56269642099
126,42.2914141414,-71.1348484848,-6.35290736713
127,42.2914141414,-71.1327272727,-5.31049828945
128,42.2914141414,-71.1306060606,-4.47275662384
129,42.2914141414,-71.1284848485,-3.84790919145
130,42.2914141414,-71.1263636364,-3.41846889769
131,42.2914141414,-71.1242424242,-3.14971119865
132,42.2914141414,-71.1221212121,-3.00031474926
133,42.2914141414,-71.12,-2.93225465517
134,42.2914141414,-71.1178787879,-2.91776883742
135,42.2914141414,-71.1157575758,-2.942024427
136,42.2914141414,-71.1136363636,-3.00125427332
137,42.2914141414,-71.1115151515,-3.09796818567
138,42.2914141414,-71.1093939394,-3.23622807713
139,42.2914141414,-71.1072727273,-3.41910827149
140,42.2914141414,-71.1051515152,-3.55015327778
141,42.2914141414,-71.103030303,-3.71086602303
142,42.2914141414,-71.1009090909,-3.91294681672
143,42.2914141414,-71.0987878788,-4.14362101758
144,42.2914141414,-71.0966666667,-4.37940653541
145,42.2914141414,-71.0945454545,-4.5850055209
146,42.2914141414,-71.0924242424,-4.71431980055
147,42.2914141414,-71.0903030303,-4.71464726622
148,42.2914141414,-71.0881818182,-4.5349534599
149,42.2914141414,-71.0860606061,-4.13804015526
150,42.2914141414,-71.0839393939,-3.51453507117
151,42.2914141414,-71.0818181818,-2.69454085529
152,42.2914141414,-71.0796969697,-1.74401992377
153,42.2914141414,-71.0775757576,-0.759580961118
154,42.2914141414,-71.0754545455,0.0487288884788
155,42.2914141414,-71.0733333333,0.604436878027
156,42.2914141414,-71.0712121212,0.863023916676
157,42.2914141414,-71.0690909091,0.808025948828
158,42.2914141414,-71.066969697,0.443840673087
159,42.2914141414,-71.0648484848,-0.203580709707
160,42.2914141414,-71.0627272727,-1.08062609999
161,42.2914141414,-71.0606060606,-2.11048299916
162,42.2914141414,-71.0584848485,-3.21585648017
163,42.2914141414,-71.0563636364,-4.19557081421
164,42.2914141414,-71.0542424242,-5.06722579188
165,42.2914141414,-71.0521212121,-5.85592483918
166,42.2914141414,-71.05,-6.57444730858
167,42.2914141414,-71.0478787879,-7.22730796083
168,42.2914141414,-71.0457575758,-7.80963892262
169,42.2914141414,-71.0436363636,-8.31275059093
170,42.2914141414,-71.0415151515,-8.73065676408
171,42.2914141414,-71.0393939394,-9.06451832009
