latitude,longitude,nrides
42.29,-70.9863636364,-19.5332840461
42.29,-70.9842424242,-19.6026099613
42.29,-70.9821212121,-19.6561802955
42.29,-70.98,-19.6971934123
42.2914141414,-71.19,-19.7822334056
42.2914141414,-71.1878787879,-19.7624849033
42.2914141414,-71.1857575758,-19.7296843069
42.2914141414,-71.1836363636,-19.6775152546
42.2914141414,-71.1815151515,-19.5981191029
42.2914141414,-71.1793939394,-19.4827620518
42.2914141414,-71.1772727273,-19.3231241185
42.2914141414,-71.1751515152,-19.1131454607
42.2914141414,-71.173030303,-18.8510894196
42.2914141414,-71.1709090909,-18.5412003684
42.2914141414,-71.1687878788,-18.1941825729
42.2914141414,-71.1666666667,-17.8258378837
42.2914141414,-71.1645454545,-17.4536326919
42.2914141414,-71.1624242424,-17.0916382335
42.2914141414,-71.1603030303,-16.7449852545
42.2914141414,-71.1581818182,-16.4054169404
42.2914141414,-71.1560606061,-16.0495024859
42.2914141414,-71.1539393939,-15.6405485607
42.2914141414,-71.1518181818,-15.1343657834
42.2914141414,-71.1496969697,-14.488067125
42.2914141414,-71.1475757576,-13.670237187
42.2914141414,-71.1454545455,-12.6702762367
42.2914141414,-71.1433333333,-11.5045907782
42.2914141414,-71.1412121212,-10.217671483
42.2914141414,-71.1390909091,-8.8770582125
42.2914141414,-71.136969697,-7.56269642099
42.2914141414,-71.1348484848,-6.35290736713
42.2914141414,-71.1327272727,-5.31049828945
42.2914141414,-71.1306060606,-4.47275662384
42.2914141414,-71.1284848485,-3.84790919145
42.2914141414,-71.1263636364,-3.41846889769
42.2914141414,-71.1242424242,-3.14971119865
42.2914141414,-71.1221212121,-3.00031474926
42.2914141414,-71.12,-2.93225465517
42.2914141414,-71.1178787879,-2.91776883742
42.2914141414,-71.1157575758,-2.942024427
42.2914141414,-71.1136363636,-3.00125427332
42.2914141414,-71.1115151515,-3.09796818567
42.2914141414,-71.1093939394,-3.23622807713
42.2914141414,-71.1072727273,-3.41910827149
42.2914141414,-71.1051515152,-3.55015327778
42.2914141414,-71.103030303,-3.71086602303
42.2914141414,-71.1009090909,-3.91294681672
42.2914141414,-71.0987878788,-4.14362101758
42.2914141414,-71.0966666667,-4.37940653541
42.2914141414,-71.0945454545,-4.5850055209
42.2914141414,-71.0924242424,-4.71431980055
42.2914141414,-71.0903030303,-4.71464726622
42.2914141414,-71.0881818182,-4.5349534599
42.2914141414,-71.0860606061,-4.13804015526
