id,latitude,longitude
1039695718,42.3646686,-71.1431015
1040144796,42.3646566,-71.1430038
1040353837,42.3646527,-71.1429098
1040424280,42.3646447,-71.1428213
1040604998,42.364624,-71.1427528
1040611597,42.3646002,-71.1426386
1331958853,42.3645932,-71.142565
1331958843,42.3645804,-71.1425263
1040241140,42.364563,-71.1425025
1331958846,42.3645397,-71.1424206
1040538581,42.3645181,-71.1423115
1040409745,42.3644883,-71.1422054
1040472263,42.3644438,-71.1420685
1040003001,42.3644049,-71.1419685
1039569485,42.3643661,-71.1418522
1040509870,42.3643456,-71.1418005
1040560969,42.3643305,-71.1417445
1040710266,42.3643174,-71.1416957
1040280822,42.364298,-71.1416114
1040659638,42.3642696,-71.1415271
1039626870,42.3642496,-71.1414424
1040230891,42.3642178,-71.1413538
1040333509,42.3641782,-71.1412479
1040445062,42.3641296,-71.1411083
1039997095,42.3641159,-71.1410522
1040117404,42.3641008,-71.1408984
1040158401,42.3640869,-71.1408095
1040471022,42.3640772,-71.1406993
1040535129,42.3640732,-71.1406244
1040112998,42.364067,-71.1405396
1039569283,42.3640612,-71.1404647
1040521776,42.3640601,-71.1403914
1040173657,42.3640641,-71.1403148
1039764101,42.36407,-71.1402529
1040329563,42.3640751,-71.1401751
1040207829,42.3640868,-71.1401048
1040254069,42.3640954,-71.140044
1040644897,42.3641079,-71.1399595
1040622645,42.3641226,-71.139872
1040086900,42.3641315,-71.139774
1040509066,42.3641493,-71.1396684
1040160819,42.3641692,-71.1395634
1040451733,42.3641938,-71.1394706
1039582248,42.3642222,-71.1393607
1040247852,42.364239,-71.1392876
1040508160,42.364254,-71.1392316
1040342875,42.3642772,-71.1391681
1040660252,42.3642861,-71.1391209
1039609567,42.3642981,-71.1390779
1040541739,42.3643392,-71.1389758
1040230314,42.3643705,-71.1389041
1040668965,42.3644052,-71.138837
1040470504,42.3644577,-71.1387083
1040129795,42.3645163,-71.1386043
1040586512,42.3645747,-71.1385115
1040524725,42.3645993,-71.1384624
1331958848,42.3646225,-71.1384169
1040592986,42.3646464,-71.1383625
1331958842,42.3646537,-71.1383591
1331958845,42.3646616,-71.1383503
1331958850,42.3646678,-71.1383371
1331958856,42.3646712,-71.1383242
1040668122,42.3647128,-71.1382747
1331958844,42.3647441,-71.1382397
1040586491,42.3647774,-71.1382028
1040063584,42.3648458,-71.1381182
1040611252,42.3649136,-71.1380323
1039912232,42.3649925,-71.1379333
1040144546,42.3650711,-71.1378532
1040545712,42.3651545,-71.1377687
1040464369,42.3652236,-71.1376777
1040488886,42.3653094,-71.1375759
1040541290,42.3653875,-71.1374998
1040492148,42.3654507,-71.1374217
1040566528,42.3655307,-71.1373403
1040481969,42.3655933,-71.137281
1040207959,42.3656736,-71.137196
1040587361,42.3657653,-71.1371103
1040500359,42.365827,-71.1370731
1331958852,42.3658717,-71.1370353
1040696110,42.3659151,-71.1369873
1040707623,42.3659695,-71.1369124
1040191894,42.366017,-71.1368503
1331958849,42.3660124,-71.1368403
1331958854,42.3660488,-71.1368025
1331958851,42.3660549,-71.1368104
1040377024,42.36608,-71.1367803
1331958847,42.3661214,-71.1367389
1040072453,42.3661524,-71.1367021
1040692771,42.3661959,-71.1366436
1039656481,42.3662478,-71.1365811
1039553536,42.3663149,-71.1364948
1039790336,42.3663731,-71.1364087
1040642405,42.3664252,-71.1363487
1040594805,42.3664841,-71.1362622
1040120082,42.3665431,-71.1361642
1040434433,42.3665921,-71.1360812
1184720102,42.3672046,-71.1368381
1184719990,42.3671234,-71.1369494
1184720432,42.3670213,-71.1370754
1184720385,42.3669292,-71.1372082
1184720215,42.3668391,-71.1373209
1184720075,42.3667419,-71.1374523
1184720173,42.3666924,-71.137518
1184720036,42.3666528,-71.1375797
1184720278,42.3665973,-71.1376401
1184720393,42.3665358,-71.1376964
1184720214,42.3664843,-71.1377581
1184720219,42.3664348,-71.1378171
1184720438,42.366409,-71.1378412
1184720124,42.3663684,-71.1378587
1184720416,42.3663099,-71.1378935
1184720284,42.3662762,-71.1379217
1184720047,42.3662534,-71.1379539
1184720042,42.3662287,-71.1379928
1184720265,42.3661811,-71.138037
1184720283,42.3661226,-71.1380947
1184720205,42.3660701,-71.138151
1184720212,42.3660305,-71.1382181
1184720303,42.365979,-71.1382757
1184720280,42.3659255,-71.138328
1184720190,42.3658898,-71.1383911
1184720067,42.3658432,-71.1384461
1184720073,42.3658006,-71.1385064
1184720099,42.3657719,-71.1385681
1184720065,42.3657293,-71.1386217
1184719973,42.3656867,-71.1386593
1184720263,42.3656391,-71.1387237
1184720143,42.3655856,-71.1387545
1184720354,42.3655549,-71.1387773
1184720309,42.365544,-71.1388108
1184720301,42.365545,-71.1388497
1184720430,42.3655311,-71.1388819
1184720011,42.3655033,-71.1389262
1184719987,42.3654578,-71.1389745
1184720097,42.3654132,-71.1390361
1184720040,42.3653646,-71.1390871
1184720346,42.3653161,-71.1391461
1184720091,42.3652784,-71.1392172
1184720386,42.3652477,-71.1392588
1184720017,42.3651932,-71.1392977
1184720244,42.3651446,-71.1393593
1184720343,42.365102,-71.1394318
1184720193,42.3650624,-71.1394894
1184720140,42.3650396,-71.1395404
1184720176,42.364998,-71.1396075
1184720248,42.3649554,-71.1396638
1184720316,42.3649247,-71.1397429
1184720258,42.3648959,-71.1398113
1184720249,42.3648811,-71.1398877
1184720188,42.3648612,-71.1399414
1184720341,42.3648276,-71.1400004
1184720246,42.3648028,-71.1400715
1184720290,42.3647998,-71.1401251
1184720023,42.3648097,-71.1401493
1184720093,42.3647869,-71.1402217
1184720384,42.3647929,-71.1403102
1184720171,42.3648058,-71.1404295
1184720237,42.3648127,-71.1405127
1184719999,42.3648394,-71.1406066
1184720120,42.3648622,-71.1407058
1184720200,42.3648801,-71.1407916
1184720202,42.3649019,-71.1408681
1184720146,42.3649286,-71.1409311
1039822747,42.3649514,-71.1409988
1183579720,42.3649673,-71.1410974
1183579717,42.3649782,-71.141198
1183579735,42.36499,-71.1412906
1183579722,42.3650089,-71.1413965
1183579724,42.3650307,-71.1415051
1183579746,42.3650554,-71.1416245
1183579727,42.3650832,-71.1417385
