,latitude,longitude,nrides
75,42.29,-71.0309090909,-15.4501845081
76,42.29,-71.0287878788,-15.3622597532
77,42.29,-71.0266666667,-15.3074854207
78,42.29,-71.0245454545,-15.3387249528
79,42.29,-71.0224242424,-15.4903316034
80,42.29,-71.0203030303,-15.7730369398
81,42.29,-71.0181818182,-16.1737573422
82,42.29,-71.0160606061,-16.6603025022
83,42.29,-71.0139393939,-17.1895881552
84,42.29,-71.0118181818,-17.7170367181
85,42.29,-71.0096969697,-18.2047405131
86,42.29,-71.0075757576,-18.6266472351
87,42.29,-71.0054545455,-18.9701604648
88,42.29,-71.0033333333,-19.2346515132
89,42.29,-71.0012121212,-19.4280753269
90,42.29,-70.9990909091,-19.5630358637
91,42.29,-70.996969697,-19.6533572872
92,42.29,-70.9948484848,-19.7117196245
93,42.29,-70.9927272727,-19.7484423451
94,42.29,-70.9906060606,-19.7711870186
95,42.29,-70.9884848485,-19.7852309385
96,42.29,-70.9863636364,-19.7939901942
97,42.29,-70.9842424242,-19.7995688013
98,42.29,-70.9821212121,-19.8032174643
99,42.29,-70.98,-19.8056665681
100,42.2914141414,-71.19,-19.7886520977
101,42.2914141414,-71.1878787879,-19.7721309729
102,42.2914141414,-71.1857575758,-19.7440018472
103,42.2914141414,-71.1836363636,-19.6984984876
104,42.2914141414,-71.1815151515,-19.6284720982
105,42.2914141414,-71.1793939394,-19.5260807753
106,42.2914141414,-71.1772727273,-19.3840948402
107,42.2914141414,-71.1751515152,-19.1977534143
108,42.2914141414,-71.173030303,-18.9668365911
109,42.2914141414,-71.1709090909,-18.6973423902
110,42.2914141414,-71.1687878788,-18.4020082973
111,42.2914141414,-71.1666666667,-18.0990204915
112,42.2914141414,-71.1645454545,-17.8086609023
113,42.2914141414,-71.1624242424,-17.5482733898
114,42.2914141414,-71.1603030303,-17.3265805699
115,42.2914141414,-71.1581818182,-17.1388006856
116,42.2914141414,-71.1560606061,-16.9640203223
117,42.2914141414,-71.1539393939,-16.7658565897
118,42.2914141414,-71.1518181818,-16.4967379095
119,42.2914141414,-71.1496969697,-16.1053648539
120,42.2914141414,-71.1475757576,-15.5462535358
121,42.2914141414,-71.1454545455,-14.7897776531
122,42.2914141414,-71.1433333333,-13.8308097722
123,42.2914141414,-71.1412121212,-12.6939566276
124,42.2914141414,-71.1390909091,-11.4336312633
125,42.2914141414,-71.136969697,-10.1279925815
126,42.2914141414,-71.1348484848,-8.86715684424
127,42.2914141414,-71.1327272727,-7.7377779089
128,42.2914141414,-71.1306060606,-6.80751102531
129,42.2914141414,-71.1284848485,-6.11333690973
130,42.2914141414,-71.1263636364,-5.65686083882
131,42.2914141414,-71.1242424242,-5.40778867773
132,42.2914141414,-71.1221212121,-5.31460982488
133,42.2914141414,-71.12,-5.31968998434
134,42.2914141414,-71.1178787879,-5.37443125012
135,42.2914141414,-71.1157575758,-5.44918263079
136,42.2914141414,-71.1136363636,-5.53405456848
137,42.2914141414,-71.1115151515,-5.63184045795
138,42.2914141414,-71.1093939394,-5.7492077154
139,42.2914141414,-71.1072727273,-5.89155781364
140,42.2914141414,-71.1051515152,-6.06135256826
141,42.2914141414,-71.103030303,-6.25636891029
142,42.2914141414,-71.1009090909,-6.46635473721
143,42.2914141414,-71.0987878788,-6.66969344775
144,42.2914141414,-71.0966666667,-6.83209943655
145,42.2914141414,-71.0945454545,-6.90809700266
146,42.2914141414,-71.0924242424,-6.84536887037
147,42.2914141414,-71.0903030303,-6.59215983032
148,42.2914141414,-71.0881818182,-6.10771185593
149,42.2914141414,-71.0860606061,-5.37464677922
150,42.2914141414,-71.0839393939,-4.41062025501
151,42.2914141414,-71.0818181818,-3.27520648838
