,id,terminal,station,municipal,lat,lng,status,originpop,originwork,originsubway,destpop,destwork,destsubway
0,3,B32006,Colleges of the Fenway,Boston,42.340021,-71.100812,Existing,9854.77658738,18047.9836956,5983.55308644,50282.1384029,97594.5945698,60598.2077489
1,4,C32000,Tremont St. at Berkeley St.,Boston,42.345392,-71.069616,Existing,12057.8287771,24356.3428094,13801.1342966,84761.6804738,139484.060455,100287.611125
2,5,B32012,Northeastern U / North Parking Lot,Boston,42.341814,-71.090179,Existing,24256.2817751,49924.0130576,12123.7163737,64773.9439079,121198.438831,78405.9945825
3,6,D32000,Cambridge St. at Joy St.,Boston,42.361285,-71.06514,Existing,13943.5456835,57091.8502139,30573.4248378,91527.8189425,165733.064011,137806.371045
4,7,A32000,Fan Pier,Boston,42.353412,-71.044624,Existing,959.869916204,16306.015985,4747.83672285,68367.8347267,104623.966308,85539.8061488
5,8,A32001,Union Square - Brighton Ave. at Cambridge St.,Boston,42.353334,-71.137313,Existing,9740.63164596,4398.45945886,2921.59716988,40989.8010944,26037.5176576,16274.2618027
6,9,A32002,Agganis Arena - 925 Comm Ave.,Boston,42.351313,-71.116174,Existing,3481.89440789,1227.64712022,4674.69449661,48280.2524828,63320.2644666,50200.9262646
7,10,A32003,B.U. Central - 725 Comm. Ave.,Boston,42.350075,-71.105884,Existing,13783.0250948,27442.6747874,8216.41078189,55502.3151518,90060.4317939,69073.3627605
8,11,A32004,Longwood Ave / Binney St,Boston,42.338629,-71.1065,Existing,1896.0864526,3022.53688135,5648.41125309,42918.4756387,81070.0253026,49250.4532282
9,12,B32002,Ruggles Station / Columbus Ave.,Boston,42.335911,-71.088496,Existing,5293.13174149,6262.77904853,14380.3603655,53330.3103741,111213.989219,68052.8172224
10,13,C32002,Boston Medical Center - 721 Mass. Ave.,Boston,42.334057,-71.07403,Removed,11249.4489434,6827.37226484,2549.95264301,55087.5200483,99074.3878081,65104.3475866
11,14,B32003,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,Boston,42.337171,-71.102797,Existing,4019.04270554,3628.18989021,7472.75250985,43615.4436022,89136.6443142,53350.6278296
12,15,A32005,Harvard Real Estate - Brighton Mills - 370 Western Ave,Boston,42.361667,-71.13802,Existing,1813.81130959,820.094484317,16.8372132019,36268.8729877,26482.710948,21116.8416165
13,16,C32003,Back Bay / South End Station,Boston,42.347433,-71.076163,Existing,16927.7033478,47479.2182681,33726.1003022,86827.4551315,146840.439793,105203.537642
14,17,A32006,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,Boston,42.365074,-71.119581,Existing,2144.64538069,588.074513617,1225.26139204,41688.1394919,55998.0695551,57152.0219253
15,18,A32007,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Boston,42.36337,-71.129791,Existing,1718.62064636,715.947113204,49.6565142633,39362.1615797,38432.8474523,35503.4518472
16,19,A32008,Buswell Park,Boston,42.347527,-71.105828,Existing,19954.1419986,39670.023202,9657.06287218,54134.8908978,89387.3102011,64624.9307425
17,20,B32004,Aquarium Station - 200 Atlantic Ave.,Boston,42.35977,-71.051601,Existing,5704.83356034,79105.5259632,20328.3670257,82168.7589807,141227.574321,119237.069355
18,21,C32007,Prudential Center / Belvidere,Boston,42.345959,-71.082578,Existing,6397.61245137,30628.346956,24012.8309759,79565.1594614,137953.385499,95834.1330545
19,22,A32010,South Station - 700 Atlantic Ave.,Boston,42.352175,-71.055547,Existing,4489.83977752,40905.897888,45583.4020454,87991.8250172,142393.953415,112107.505066
20,23,B32008,Mayor Thomas M. Menino - Government Center,Boston,42.359677,-71.059364,Removed,9048.06395289,71113.7096553,58801.0455559,92050.5378296,162430.175918,134419.267422
21,24,B32007,Seaport Square - Seaport Blvd. at Boston Wharf,Boston,42.351821,-71.045461,Existing,1418.23041542,22040.2403077,6442.05294875,69043.9629864,103989.448941,83891.9968601
22,25,A32009,Tremont St / W Newton St,Boston,42.341332,-71.076847,Existing,15931.1794913,15085.6151678,12131.1035962,73534.6807948,127721.06047,86283.8741951
23,26,D32002,Washington St. at Waltham St.,Boston,42.341522,-71.068922,Existing,15630.6423293,12128.7323666,4872.10634762,74935.2736098,122291.111266,85862.1809812
24,27,C32001,Roxbury Crossing Station,Boston,42.331567,-71.094734,Existing,14655.2240719,3631.52921477,10705.2251799,39269.7539528,94631.8281843,56173.9109718
25,29,A32011,Innovation Lab - 125 Western Ave. at Batten Way,Boston,42.363732,-71.124565,Existing,1401.32670799,335.630364069,258.504585298,41301.1264017,47473.4566035,46166.2701055
26,30,B32013,Brigham Cir / Huntington Ave,Boston,42.334073,-71.105221,Existing,2749.19432451,772.639061714,6940.08804268,36688.2975036,78527.6201421,46197.6343191
27,31,B32014,Seaport Hotel,Boston,42.348833,-71.041747,Existing,1735.21826293,24337.3639847,3236.91507131,57504.7376119,79993.6246033,63727.4601217
28,32,B32015,Landmark Centre,Boston,42.343912,-71.102221,Existing,22330.4671157,44581.4066819,7661.61388509,54447.0025772,97386.8439407,64784.9822622
29,33,B32010,Kenmore Sq / Comm Ave,Boston,42.349046,-71.096831,Existing,17417.5475146,35038.1211072,13913.7269571,65565.9843863,113730.652333,83335.8966659
30,34,B32009,Overland St at Brookline Ave,Boston,42.346171,-71.099855,Removed,29514.7259432,59054.6893669,10705.1248632,59673.1968993,104977.483349,72962.5633387
31,35,D32004,Summer St. / Arch St.,Boston,42.354594,-71.05896,Removed,6038.29399396,53209.307303,67912.0691534,93714.1657756,157680.995624,125162.501818
32,36,D32005,Boston Public Library - 700 Boylston St.,Boston,42.349673,-71.077303,Existing,16545.1809459,48539.4932421,33195.7430924,88962.7513374,151226.991554,110563.746694
33,37,D32001,New Balance - 38 Guest St.,Boston,42.357247,-71.146452,Removed,958.86417323,373.474943254,73.0441794322,34240.724741,18071.0786808,10697.4427132
34,38,D32003,TD Garden - Legends Way,Boston,42.366231,-71.060868,Removed,7269.80685668,20371.7062735,11770.7541894,79602.3077149,148593.42083,131391.709891
35,39,C32006,Washington St. at Rutland St.,Boston,42.338623,-71.074182,Existing,25623.0736515,16294.9963954,5627.07633475,67081.4099851,116238.396729,78008.8906183
36,40,D32006,Lewis Wharf - Atlantic Ave.,Boston,42.363871,-71.050877,Existing,6155.66090113,46244.205282,8202.92438837,75035.1943269,133953.866229,117720.75233
37,41,A32012,Packard's Corner - Comm. Ave. at Brighton Ave.,Boston,42.352261,-71.123831,Existing,7373.16689473,2701.48877511,5918.71315561,45495.8955479,46522.5050798,36075.7757318
38,42,D32007,Boylston St. at Arlington St.,Boston,42.352096,-71.070378,Existing,14691.4183563,40648.8623009,25808.694158,95173.9333401,161623.62656,122356.051569
39,43,D32008,Rowes Wharf - Atlantic Ave,Boston,42.357143,-71.050699,Existing,3428.27009627,64191.9535525,19399.0918121,82107.7006723,136670.341361,113154.741685
40,44,D32009,Faneuil Hall - Union St. at North St.,Boston,42.360583,-71.056868,Existing,9119.65668606,83175.4134861,46073.2607135,88664.0240638,156563.857001,131420.605412
41,45,B32011,Yawkey Way at Boylston St.,Boston,42.344763,-71.09788,Existing,29254.1426014,58571.4912666,9058.36025682,60522.557945,109096.441561,73597.9773422
42,46,B32005,Christian Science Plaza,Boston,42.343864,-71.085918,Existing,11824.0236879,32767.1018997,17324.2916753,72864.5772998,130215.55366,87451.2547698
43,47,D32010,Cross St. at Hanover St.,Boston,42.362811,-71.056067,Existing,10400.4116086,69769.2129178,28561.5696073,84205.7744067,151284.031359,130001.171095
44,48,D32012,Post Office Square,Boston,42.356755,-71.055407,Existing,5251.28980971,78795.3030056,51245.1715844,89848.6086013,152216.286323,124064.180339
45,49,D32011,Stuart St. at Charles St.,Boston,42.351146,-71.066289,Existing,10602.9764277,37262.8575485,32607.8290465,94748.6375742,158495.331799,120203.709163
46,50,D32013,Boylston St / Berkeley St,Boston,42.350989,-71.073644,Existing,19834.4100404,51546.0137815,28048.131403,92751.3999176,157380.151739,117252.781971
47,51,C32005,Washington St. at Lenox St.,Boston,42.3348756,-71.0790969,Existing,6786.93015365,4163.18039562,4712.57710521,55980.8464361,107498.964162,68665.6707189
48,52,B32000,Newbury St / Hereford St,Boston,42.348717,-71.085954,Existing,5052.01765154,23177.812298,18179.9577646,79298.2398519,137138.350584,98470.2972299
49,53,B32016,Beacon St / Mass Ave,Boston,42.350851,-71.089886,Existing,3347.41876093,10052.8220258,12475.291572,75361.7517355,130472.621145,97224.8383685
50,54,D32014,Tremont St / West St,Boston,42.354979,-71.063348,Existing,7626.63872037,43889.7315775,61735.4822979,96616.5144155,165344.538401,130184.639146
51,55,B32018,Boylston / Mass Ave,Boston,42.347265,-71.088088,Existing,10592.8228678,30466.8228309,17474.3820719,75394.7327971,131806.517448,92630.4582175
52,56,B32017,Dudley Square,Boston,42.3281898,-71.0833545,Removed,14947.2670369,3913.54727974,4213.96214959,39164.0017694,89303.6805534,55850.2625515
53,57,C32004,Columbus Ave. at Mass. Ave.,Boston,42.340799,-71.081572,Existing,6710.85179203,11340.3063569,14154.2721128,69865.2126895,126312.61082,83127.5873228
54,58,D32017,The Esplanade - Beacon St. at Arlington St.,Boston,42.355596,-71.07278,Existing,7632.54380164,23411.3713789,15751.6480151,94368.4153613,164565.638479,128271.501188
55,59,D32015,Chinatown Gate Plaza - Surface Rd. at Beach St.,Boston,42.351356,-71.059367,Existing,7524.95000617,42289.1452432,48396.5197951,91406.0988876,149481.428917,115752.224847
56,60,D32016,Charles Circle - Charles St. at Cambridge St.,Boston,42.360877,-71.07131,Removed,10108.7954193,36534.5242206,16698.963282,89461.4224448,162540.003566,133929.238157
57,61,C32008,Boylston at Fairfield,Boston,42.348323,-71.082674,Removed,6016.75451981,30890.4045048,24508.2007858,82595.2105141,141979.979887,101550.541203
58,62,B32019,Longwood Ave/Riverway,Boston,42.340299,-71.109927,Existing,2265.03135698,2956.78032287,5476.29185468,42705.1298532,73123.6433391,45483.3435013
59,63,C32009,Dorchester Ave. at Gillette Park,Boston,42.344023,-71.057054,Existing,1676.4998427,7461.73745951,8918.1394271,74432.8797421,111775.875381,83325.614846
60,64,C32010,Congress / Sleeper,Boston,42.3511,-71.0496,Existing,1761.43649342,25744.8662467,16857.8959701,76868.5553552,118354.693022,94024.5941874
61,65,D32018,Boston Convention & Exhibition Center,Boston,42.3475,-71.0441,Existing,2164.43040904,29443.398304,3409.52887748,60696.9465146,84578.4132056,66472.0786312
62,66,A32017,Allston Green District - Commonwealth Ave & Griggs St,Boston,42.348607,-71.13401,Existing,4354.32195596,1843.16753978,6462.34074473,41611.6099129,28108.6165099,16557.5949465
63,67,M32006,MIT at Mass Ave / Amherst St,Cambridge,42.3581,-71.093198,Existing,960.147685327,2394.95938937,3771.4657348,66745.3574585,118532.489763,101114.336104
