,stationid,duration,nrides,ndays,lat,lng,originpop,originwork,originsubway,destpop,destwork,destsubway,ridesperday
16,19.0,678.0,4630.0,238.0,42.347527,-71.105828,19954.1419986,39670.023202,9657.06287218,54134.8908978,89387.3102011,64624.9307425,19.4537815126
17,20.0,510.0,17610.0,444.0,42.35977,-71.051601,5704.83356034,79105.5259632,20328.3670257,82168.7589807,141227.574321,119237.069355,39.6621621622
18,21.0,600.0,19038.0,446.0,42.345959,-71.082578,6397.61245137,30628.346956,24012.8309759,79565.1594614,137953.385499,95834.1330545,42.6860986547
19,22.0,509.0,49288.0,446.0,42.352175,-71.055547,4489.83977752,40905.897888,45583.4020454,87991.8250172,142393.953415,112107.505066,110.511210762
20,23.0,606.0,8244.0,231.0,42.359677,-71.059364,9048.06395289,71113.7096553,58801.0455559,92050.5378296,162430.175918,134419.267422,35.6883116883
21,24.0,540.0,11599.0,446.0,42.351821,-71.045461,1418.23041542,22040.2403077,6442.05294875,69043.9629864,103989.448941,83891.9968601,26.0067264574
22,25.0,534.25,14547.0,446.0,42.341332,-71.076847,15931.1794913,15085.6151678,12131.1035962,73534.6807948,127721.06047,86283.8741951,32.6165919283
23,26.0,510.0,13633.0,416.0,42.341522,-71.068922,15630.6423293,12128.7323666,4872.10634762,74935.2736098,122291.111266,85862.1809812,32.7716346154
24,27.0,599.0,5632.0,444.0,42.331567,-71.094734,14655.2240719,3631.52921477,10705.2251799,39269.7539528,94631.8281843,56173.9109718,12.6846846847
25,29.0,780.0,3694.0,411.0,42.363732,-71.124565,1401.32670799,335.630364069,258.504585298,41301.1264017,47473.4566035,46166.2701055,8.98783454988
26,30.0,720.0,7556.0,412.0,42.334073,-71.105221,2749.19432451,772.639061714,6940.08804268,36688.2975036,78527.6201421,46197.6343191,18.3398058252
27,31.0,570.0,9565.0,412.0,42.348833,-71.041747,1735.21826293,24337.3639847,3236.91507131,57504.7376119,79993.6246033,63727.4601217,23.2160194175
28,32.0,589.25,14902.0,446.0,42.343912,-71.102221,22330.4671157,44581.4066819,7661.61388509,54447.0025772,97386.8439407,64784.9822622,33.4125560538
29,33.0,660.0,21647.0,433.0,42.349046,-71.096831,17417.5475146,35038.1211072,13913.7269571,65565.9843863,113730.652333,83335.8966659,49.9930715935
30,34.0,589.75,3886.0,280.0,42.346171,-71.099855,29514.7259432,59054.6893669,10705.1248632,59673.1968993,104977.483349,72962.5633387,13.8785714286
31,35.0,478.5,8059.0,227.0,42.354594,-71.05896,6038.29399396,53209.307303,67912.0691534,93714.1657756,157680.995624,125162.501818,35.5022026432
32,36.0,660.0,29532.0,423.0,42.349673,-71.077303,16545.1809459,48539.4932421,33195.7430924,88962.7513374,151226.991554,110563.746694,69.8156028369
33,37.0,1229.5,808.0,207.0,42.357247,-71.146452,958.86417323,373.474943254,73.0441794322,34240.724741,18071.0786808,10697.4427132,3.90338164251
34,38.0,643.0,17692.0,231.0,42.366231,-71.060868,7269.80685668,20371.7062735,11770.7541894,79602.3077149,148593.42083,131391.709891,76.5887445887
35,39.0,540.0,16519.0,434.0,42.338623,-71.074182,25623.0736515,16294.9963954,5627.07633475,67081.4099851,116238.396729,78008.8906183,38.0622119816
36,40.0,480.0,19812.0,446.0,42.363871,-71.050877,6155.66090113,46244.205282,8202.92438837,75035.1943269,133953.866229,117720.75233,44.4215246637
37,41.0,785.5,11299.0,442.0,42.352261,-71.123831,7373.16689473,2701.48877511,5918.71315561,45495.8955479,46522.5050798,36075.7757318,25.5633484163
38,42.0,600.0,22112.0,432.0,42.352096,-71.070378,14691.4183563,40648.8623009,25808.694158,95173.9333401,161623.62656,122356.051569,51.1851851852
39,43.0,420.0,21279.0,443.0,42.357143,-71.050699,3428.27009627,64191.9535525,19399.0918121,82107.7006723,136670.341361,113154.741685,48.0338600451
40,44.0,584.0,12793.0,431.0,42.360583,-71.056868,9119.65668606,83175.4134861,46073.2607135,88664.0240638,156563.857001,131420.605412,29.6821345708
41,45.0,630.0,14180.0,421.0,42.344763,-71.09788,29254.1426014,58571.4912666,9058.36025682,60522.557945,109096.441561,73597.9773422,33.6817102138
42,46.0,570.0,16436.0,446.0,42.343864,-71.085918,11824.0236879,32767.1018997,17324.2916753,72864.5772998,130215.55366,87451.2547698,36.8520179372
