,stationid,duration,nrides,ndays,lat,lng,popdensity,workdensity,ridesperday
54,58.0,750.0,28285.0,561.0,42.355596,-71.07278,19756.016243,20636.2016424,50.4188948307
55,59.0,570.0,13293.0,582.0,42.351356,-71.059367,17747.9828025,14141.5317444,22.8402061856
56,60.0,808.0,13571.0,266.0,42.360877,-71.07131,19791.2629173,19007.5239581,51.0187969925
57,61.0,669.0,8848.0,231.0,42.348323,-71.082674,20369.3152727,23134.3767122,38.303030303
58,62.0,783.0,6217.0,508.0,42.340299,-71.109927,19345.2360969,12043.3977768,12.2381889764
59,63.0,600.0,7168.0,534.0,42.344023,-71.057054,17132.9261266,14964.3697399,13.4232209738
60,64.0,540.0,19078.0,512.0,42.3511,-71.0496,16848.0018847,9358.20107524,37.26171875
61,65.0,810.0,6421.0,490.0,42.3475,-71.0441,16288.8918259,8941.60540457,13.1040816327
62,66.0,900.0,6188.0,333.0,42.348607,-71.13401,16472.8039424,9092.30368242,18.5825825826
63,67.0,540.0,33685.0,361.0,42.3581,-71.093198,22549.4435524,21676.7447215,93.3102493075
64,68.0,600.0,19137.0,360.0,42.36507,-71.1031,21579.9003272,22719.0971557,53.1583333333
65,69.0,840.0,8875.0,357.0,42.341598,-71.123338,17348.8133926,9675.24689599,24.8599439776
66,70.0,780.0,10237.0,363.0,42.372244,-71.121851,17468.2146745,11783.1072169,28.2011019284
67,71.0,720.0,4155.0,342.0,42.383405,-71.107593,15365.1552949,15639.5054928,12.149122807
68,72.0,660.0,13082.0,350.0,42.362613,-71.084105,22366.9456617,23520.5533053,37.3771428571
69,73.0,840.0,9432.0,364.0,42.373231,-71.120886,17252.0330195,12056.9483288,25.9120879121
70,74.0,900.0,24056.0,364.0,42.373268,-71.118579,17591.2201525,13128.6818452,66.0879120879
71,75.0,630.0,20853.0,357.0,42.363562,-71.10042,21979.2591578,23252.43369,58.4117647059
72,76.0,600.0,15222.0,365.0,42.366426,-71.105495,21078.8940698,22133.5511836,41.704109589
73,77.0,900.0,2452.0,351.0,42.386428,-71.096413,14514.017991,17873.3758174,6.98575498575
74,78.0,720.0,6232.0,359.0,42.379637,-71.095319,18115.3109552,20388.1288393,17.3593314763
75,79.0,611.75,7607.0,354.0,42.378551,-71.106541,17621.0367123,19040.3770107,21.488700565
76,80.0,600.0,19182.0,357.0,42.362429,-71.090188,22735.9051099,23789.3230456,53.731092437
77,81.0,600.0,12514.0,353.0,42.352409,-71.062679,18098.2906063,15934.303798,35.4504249292
78,82.0,1016.5,380.0,56.0,42.333689,-71.120526,15705.2021091,9671.58121659,6.78571428571
79,83.0,930.0,1491.0,309.0,42.325941,-71.065928,14656.4051678,17503.3382094,4.82524271845
80,84.0,780.0,10537.0,353.0,42.366981,-71.076472,20234.4577662,22706.7229105,29.8498583569
81,85.0,788.0,345.0,51.0,42.330825,-71.057007,15575.4647466,15982.7979107,6.76470588235
82,86.0,930.0,4782.0,344.0,42.332799,-71.116205,15871.9321893,10140.0200662,13.9011627907
83,87.0,480.0,7179.0,324.0,42.366621,-71.114214,19885.7472638,16699.3455868,22.1574074074
84,88.0,600.0,11511.0,335.0,42.374035,-71.101427,19446.1020928,10000.0,34.3611940299
85,89.0,660.0,5689.0,325.0,42.379011,-71.119945,15636.1485093,11667.6964524,17.5046153846
86,90.0,780.0,8926.0,329.0,42.3707,-71.07711,19587.5002838,23173.2839272,27.1306990881
87,91.0,660.0,13286.0,333.0,42.366277,-71.09169,21783.0710406,24981.0066702,39.8978978979
88,92.0,1560.0,964.0,256.0,42.311819,-71.035705,9856.316135,7549.15556807,3.765625
89,93.0,1305.0,1250.0,288.0,42.320494,-71.051122,12509.4884758,14150.6430442,4.34027777778
90,94.0,870.0,6905.0,305.0,42.375603,-71.064608,17014.2723455,15452.3416829,22.6393442623
91,95.0,600.0,7458.0,322.0,42.372969,-71.094445,20076.5041336,23608.8991955,23.1614906832
92,96.0,600.0,7904.0,322.0,42.373379,-71.111075,18658.2722953,18077.0077517,24.5465838509
93,97.0,1072.75,268.0,20.0,42.369182,-71.117152,19009.0326572,14332.596577,13.4
94,98.0,840.0,11906.0,319.0,42.371848,-71.060292,17331.5869054,11303.0521621,37.3228840125
95,99.0,660.0,12284.0,296.0,42.35892,-71.057629,17913.914267,9739.63407031,41.5
96,100.0,885.0,1106.0,270.0,42.328654,-71.084198,15434.0896645,18394.6674333,4.0962962963
97,101.0,720.0,454.0,60.0,42.345733,-71.100694,21278.2983113,17725.1409369,7.56666666667
98,102.0,660.0,6890.0,259.0,42.336437,-71.073089,17086.2346835,20715.4871976,26.6023166023
99,103.0,690.0,15452.0,262.0,42.348762,-71.082383,20411.8167007,23208.4356263,58.9770992366
100,104.0,780.0,1497.0,167.0,42.330716,-71.057044,15542.0782721,15963.0276867,8.96407185629
