,id,terminal,station,municipal,lat,lng,status,originpop,originwork,originsubway,destpop,destwork,destsubway
0,3,B32006,Colleges of the Fenway,Boston,42.340021,-71.100812,Existing,326.19341353,527.580667834,47.4885165591,8.66785180111,16.2179237504,3.96856563561
1,4,C32000,Tremont St. at Berkeley St.,Boston,42.345392,-71.069616,Existing,293.133964059,668.19896931,109.532811878,9.06788845769,21.4962167953,5.35071599885
2,5,B32012,Northeastern U / North Parking Lot,Boston,42.341814,-71.090179,Existing,363.6107907,681.944997933,96.2199712197,9.33710365523,18.758030548,4.57516486686
3,6,D32000,Cambridge St. at Joy St.,Boston,42.361285,-71.06514,Existing,210.708182689,969.426504029,242.646228872,8.27761155337,19.9855912393,4.91350858429
4,7,A32000,Fan Pier,Boston,42.353412,-71.044624,Existing,61.5286120874,589.60984749,37.6812438322,6.61074689876,17.8425064428,4.64416194368
5,8,A32001,Union Square - Brighton Ave. at Cambridge St.,Boston,42.353334,-71.137313,Existing,213.166066988,86.5715863525,23.187279126,5.92799672357,9.06413074041,2.1934395058
6,9,A32002,Agganis Arena - 925 Comm Ave.,Boston,42.351313,-71.116174,Existing,243.084661552,198.802658564,37.1007499731,8.50237300086,14.5990736065,3.47027190114
7,10,A32003,B.U. Central - 725 Comm. Ave.,Boston,42.350075,-71.105884,Existing,296.321089952,483.897068092,65.2096093801,9.14246050064,16.7369799481,4.08080293446
8,11,A32004,Longwood Ave / Binney St,Boston,42.338629,-71.1065,Existing,237.639681141,318.902640549,44.8286607388,8.28960370354,14.9240910965,3.57415663039
9,12,B32002,Ruggles Station / Columbus Ave.,Boston,42.335911,-71.088496,Existing,305.247333146,379.333541122,114.129844171,9.04398960038,18.0859688881,4.31624988928
10,13,C32002,Boston Medical Center - 721 Mass. Ave.,Boston,42.334057,-71.07403,Removed,239.79652474,202.762750807,20.2377193889,8.36453109499,18.2945335538,4.52449271147
11,14,B32003,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,Boston,42.337171,-71.102797,Existing,254.152028284,344.949987583,59.307559602,8.42170022538,15.4564547018,3.69992138888
12,15,A32005,Harvard Real Estate - Brighton Mills - 370 Western Ave,Boston,42.361667,-71.13802,Existing,112.343083548,55.8026380588,0.133628676206,5.92631641566,8.81373681728,2.20151841542
13,16,C32003,Back Bay / South End Station,Boston,42.347433,-71.076163,Existing,305.229390475,743.616928692,267.667462716,9.21827289655,20.9042672518,5.088691568
14,17,A32006,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,Boston,42.365074,-71.119581,Existing,153.235604671,149.988927544,9.72429676225,7.72262020645,12.6904220509,3.10113969307
15,18,A32007,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Boston,42.36337,-71.129791,Existing,127.025782979,80.8267733299,0.39409931955,6.88310383694,10.6260680361,2.64918143675
16,19,A32008,Buswell Park,Boston,42.347527,-71.105828,Existing,320.248810976,524.474110109,76.6433561285,8.87732969428,16.2274093905,3.98314508499
17,20,B32004,Aquarium Station - 200 Atlantic Ave.,Boston,42.35977,-71.051601,Existing,124.091556237,975.220299267,161.336246236,6.93606187363,17.2653927945,4.26347574965
18,21,C32007,Prudential Center / Belvidere,Boston,42.345959,-71.082578,Existing,312.887511027,706.915575725,190.578023618,9.31390883726,19.9990693299,4.84176493378
19,22,A32010,South Station - 700 Atlantic Ave.,Boston,42.352175,-71.055547,Existing,149.655680682,964.176353803,361.773032107,7.73526293901,18.7469075202,4.33698998952
20,23,B32008,Mayor Thomas M. Menino - Government Center,Boston,42.359677,-71.059364,Removed,193.501320143,1143.10251488,466.674964729,7.60703765953,17.8296482692,4.12032421846
21,24,B32007,Seaport Square - Seaport Blvd. at Boston Wharf,Boston,42.351821,-71.045461,Existing,69.5661659103,594.564806709,51.1274043551,6.73754490112,17.9820358982,4.68144318813
22,25,A32009,Tremont St / W Newton St,Boston,42.341332,-71.076847,Existing,319.369861665,527.065166186,96.2785999697,9.03629398927,20.2247647134,5.00261668646
23,26,D32002,Washington St. at Waltham St.,Boston,42.341522,-71.068922,Existing,279.327196282,460.512017741,38.6675106954,8.90029313169,20.9905750382,5.28983118316
24,27,C32001,Roxbury Crossing Station,Boston,42.331567,-71.094734,Existing,251.026197668,194.187253667,84.9621046023,8.41483801889,15.829884297,3.70224993493
25,29,A32011,Innovation Lab - 125 Western Ave. at Batten Way,Boston,42.363732,-71.124565,Existing,134.453774233,102.200924141,2.05162369284,7.38137468701,11.75892952,2.90635434039
26,30,B32013,Brigham Cir / Huntington Ave,Boston,42.334073,-71.105221,Existing,172.773494666,177.286104705,55.0800638308,8.09542773198,14.4707160902,3.39493091222
27,31,B32014,Seaport Hotel,Boston,42.348833,-71.041747,Existing,64.4360093991,383.256636125,25.6898021533,6.29591365901,17.2249053248,4.4845449891
28,32,B32015,Landmark Centre,Boston,42.343912,-71.102221,Existing,355.344579575,624.287291284,60.8064594055,8.69030489521,16.2181591689,4.04699681279
29,33,B32010,Kenmore Sq / Comm Ave,Boston,42.349046,-71.096831,Existing,335.170141013,676.448542527,110.426404422,9.50048435614,18.5587779818,4.60075670201
30,34,B32009,Overland St at Brookline Ave,Boston,42.346171,-71.099855,Removed,369.496471899,697.808338546,84.9613084382,8.94835783528,17.0319165861,4.27676332795
31,35,D32004,Summer St. / Arch St.,Boston,42.354594,-71.05896,Removed,188.362954334,1120.64358736,538.984675821,7.8511332934,18.2666546137,4.0073776173
32,36,D32005,Boston Public Library - 700 Boylston St.,Boston,42.349673,-71.077303,Existing,280.709847441,756.054596703,263.458278511,9.33062847769,21.0419292793,5.1042573228
33,37,D32001,New Balance - 38 Guest St.,Boston,42.357247,-71.146452,Removed,158.990098107,63.3243531011,0.57971570978,4.85962643547,7.01019599929,1.73825112385
